url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26457007-customer-service-executive-mandarin-speaker-petaling-jaya,26457007,Customer Service Executive (Mandarin Speaker) - Petaling Jaya,Envo BPO Services Sdn Bhd,"MYR2,800 - MYR3,500 monthly",Sepenuh Masa,"Petaling Jaya, Selangor",2 hours ago,"Mandarin Chinese, Customer Service",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26454867-property-agent,26454867,Property Agent,Wealth Momentum,"MYR5,000 - MYR15,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",7 hours ago,"Sales Skills, Real Estate Knowledge",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26454315-sales-executive,26454315,Sales Executive,PM Advisory Group Sdn Bhd,"MYR5,000 - MYR8,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",7 hours ago,"Sales, Sales experience",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26454355-sales-representative,26454355,Sales Representative,PM Advisory Group Sdn Bhd,"MYR5,000 - MYR8,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",7 hours ago,"Sales, Sales experience",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26454356-sales-specialist,26454356,Sales Specialist,PM Advisory Group Sdn Bhd,"MYR5,000 - MYR8,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",7 hours ago,"Sales, Sales experience",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26454357-sales-consultant,26454357,Sales Consultant,PM Advisory Group Sdn Bhd,"MYR5,000 - MYR8,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",7 hours ago,"Sales, Sales experience",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26454358-junior-sales-associate,26454358,Junior Sales Associate,PM Advisory Group Sdn Bhd,"MYR5,000 - MYR8,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",7 hours ago,"Sales, Sales experience",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26454327-business-development-executive,26454327,Business Development Executive,PM Advisory Group Sdn Bhd,"MYR6,000 - MYR9,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",8 hours ago,"Business Development, Client Relationship Management",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26454334-sales-development-representative,26454334,Sales Development Representative,PM Advisory Group Sdn Bhd,"MYR6,000 - MYR9,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",8 hours ago,"Business Development, Client Relationship Management",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26454861-content-creator,26454861,Content Creator,Wealth Momentum,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",7 hours ago,"Communication Skill, Presentation Skill",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26453880-sewing-operator,26453880,Sewing Operator,FITTERS Sdn Bhd,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",10 hours ago,"Sewing Machine Operation, Garment Construction",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26453579-rakan-audit,26453579,Rakan Audit,CH & Associates PLT,"MYR2,700 - MYR3,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",11 hours ago,"Financial Auditing, Communication Skills",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26453888-designer,26453888,Designer,Goldfinch Jewelry Sdn Bhd,"MYR1,800 - MYR2,800 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",10 hours ago,"Graphic Design, Branding",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26452805-customer-experience-executive-logistics,26452805,Customer Experience Executive ( Logistics ),Interocean Freight Services Sdn Bhd,"MYR3,000 - MYR4,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",7 hours ago,"Problem Solving, Planning",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26454873-admin,26454873,Admin,Wealth Momentum,"MYR1,800 - MYR3,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",7 hours ago,"Product Knowledge, Strategic Prospecting Skill",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26451125-marshal-golf,26451125,Marshal Golf,Kelab Golf Negara Subang,"MYR1,700 - MYR2,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",15 hours ago,"Knowledge of Golf Rules, Customer Service",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26451766-restaurant-manager-sushi-hiro,26451766,Restaurant Manager - Sushi Hiro,Exodus F&B 3 Sdn Bhd (Sushi Hiro),"MYR4,500 - MYR6,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",14 hours ago,"Management, Leadership",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26450072-accounts-executive,26450072,Accounts Executive,Hooi Loong Group Sdn Bhd,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"AP, AR",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26453801-customer-experience-associate-mandarin,26453801,Customer Experience Associate (Mandarin),Cadvision Systems Sdn Bhd,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",10 hours ago,"Sales Support, Customer Relationship Management (CRM)",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26428684-eksekutif-jualan,26428684,Eksekutif Jualan,Goldfinch Jewelry Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"Customer Service, Communication",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26453795-customer-service-representative-mandarin,26453795,Customer Service Representative (Mandarin),Cadvision Systems Sdn Bhd,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",10 hours ago,"Sales Support, Customer Relationship Management (CRM)",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26426745-service-advisor,26426745,Service Advisor,GGS Eurotech Sdn Bhd,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"Automotive Knowledge, Customer Service",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26428956-aesthetician-cum-beauty-consultant-mandarin-speaker,26428956,Aesthetician Cum Beauty Consultant (Mandarin Speaker),Synthesis Aesthetic Sdn Bhd,"MYR2,500 - MYR6,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"Facial, Aesthetic Treatments",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26428685-sales-operations-assistant-executive,26428685,Sales Operations Assistant / Executive,Tisen Trading (Malaysia) Sdn. Bhd.,"MYR3,500 - MYR4,500 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"Sales Support, Customer Relationship Management (CRM)",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26424582-permanent-promoter-klang-valley,26424582,Permanent Promoter (Klang Valley),Syncmax Management,"Up to MYR2,300 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"Customer Engagement, Sales Promotion",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26427492-therapist-beauty-wellness,26427492,THERAPIST (Beauty & Wellness),Metaventure Holdings Sdn. Bhd.,"MYR1,800 - MYR6,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"Massage Therapy, Skincare Treatments",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26429496-cnc-machinist,26429496,CNC Machinist,Ksonic Sdn Bhd,"MYR3,000 - MYR4,500 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,CNC Operation,sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26427520-health-coach-consultant,26427520,HEALTH COACH / CONSULTANT,Metaventure Holdings Sdn. Bhd.,"MYR2,200 - MYR8,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"Health Coaching, Wellness Programs",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26415542-sales-executive,26415542,Sales Executive,SIS POS Sdn Bhd,"MYR2,000 - MYR6,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"Sales, Customer Service",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26406675-technical-sales-executive-cantonese-speaker,26406675,Technical Sales Executive (Cantonese Speaker),Pacific Energy System Group,"MYR3,000 - MYR5,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"Technical Sales, Product Demonstrations",sepenuh-masa-petaling-jaya
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26428185-juruteknik-lif,26428185,Juruteknik Lif,Western Elevators Sdn Bhd,"MYR2,500 - MYR3,500 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"Troubleshooting, Electrical Troubleshooting",sepenuh-masa-petaling-jaya
https://www.maukerja.my/job/26406699-sales-consultant-mandarin-speaker,26406699,Sales Consultant (Mandarin Speaker),Medic Globe Sdn Bhd,"MYR2,000 - MYR5,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",16 hours ago,"Sales Experience, Customer Relationship Management",sepenuh-masa-petaling-jaya
