url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-pulau-pinang
https://www.maukerja.my/job/26269577-pakar-kecantikan-penang,26269577,Pakar kecantikan (Penang),Medi Beaute Sdn Bhd,"MYR1,700 - MYR2,500 Sebulan",Sepenuh Masa,Pulau Pinang,"MYR1,700 - MYR2,500 Sebulan",18 hours ago,Beauty,sepenuh-masa-pulau-pinang
https://www.maukerja.my/job/26267068-packaging-design-engineer-i,26267068,Packaging Design Engineer I,TransPak Penang Sdn. Bhd.,"MYR3,800 - MYR5,500 Sebulan",Sepenuh Masa,"Sungai Jawi, Pulau Pinang","MYR3,800 - MYR5,500 Sebulan",18 hours ago,"Communication, Packaging Design",sepenuh-masa-pulau-pinang
https://www.maukerja.my/job/26268394-secretary-admin-assistant,26268394,Secretary/ Admin Assistant,Apex Dynamic Solutions Sdn. Bhd.,"MYR2,000 - MYR2,500 monthly",Sepenuh Masa,"Bukit Mertajam, Pulau Pinang","MYR2,000 - MYR2,500 monthly",18 hours ago,"Administrative Support, Office Management",sepenuh-masa-pulau-pinang
https://www.maukerja.my/job/26266133-account-executive,26266133,Account Executive,JIA QUAN (M) SDN. BHD.,"MYR3,000 - MYR4,000 Sebulan",Sepenuh Masa,"Bukit Mertajam, Pulau Pinang","MYR3,000 - MYR4,000 Sebulan",18 hours ago,"AutoCount, Microsoft Office",sepenuh-masa-pulau-pinang
https://www.maukerja.my/job/26267508-admin-clerk,26267508,Admin Clerk,Riich Apparel Sdn Bhd,"MYR1,700 - MYR2,800 Sebulan",Sepenuh Masa,"Bukit Mertajam, Pulau Pinang","MYR1,700 - MYR2,800 Sebulan",18 hours ago,"Data Entry, Organization",sepenuh-masa-pulau-pinang
https://www.maukerja.my/job/26247671-sales-coordinator-sales-admin,26247671,Sales Coordinator/ Sales Admin,TSA Industries Sdn Bhd,"MYR2,100 - MYR3,000 Sebulan",Sepenuh Masa,"Perai, Pulau Pinang","MYR2,100 - MYR3,000 Sebulan",18 hours ago,"Communication Skills, Sales Experience",sepenuh-masa-pulau-pinang
https://www.maukerja.my/job/26248747-pembantu-kantin,26248747,Pembantu Kantin,Sodexo Malaysia Sdn Bhd,"MYR1,800 - MYR2,200 Sebulan",Sepenuh Masa,"Bayan Lepas, Pulau Pinang","MYR1,800 - MYR2,200 Sebulan",18 hours ago,"Food Safety Knowledge, Cleaning and Sanitizing",sepenuh-masa-pulau-pinang
https://www.maukerja.my/job/26246153-sales-business-development-executive-mandarin-speaker-needed,26246153,Sales & Business Development Executive- Mandarin Speaker Needed,L & Co. Plt,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Bayan Lepas, Pulau Pinang","MYR2,000 - MYR3,000 Sebulan",18 hours ago,"Sales, Business Development",sepenuh-masa-pulau-pinang
https://www.maukerja.my/job/26205932-purchasing-executive,26205932,Purchasing Executive,Song Song Frozen Food,"MYR3,500 - MYR4,500 Sebulan",Sepenuh Masa,"Sungai Jawi, Pulau Pinang","MYR3,500 - MYR4,500 Sebulan",18 hours ago,"Supply Chain Management, Purchasing Strategy",sepenuh-masa-pulau-pinang
