url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-putrajaya
https://www.maukerja.my/job/26268671-service-kitchen-crew,26268671,Service & Kitchen Crew,Johnny's Restaurant,"MYR1,900 - MYR2,200 Sebulan",Sepenuh Masa,"Putrajaya, Wilayah Persekutuan Putrajaya","MYR1,900 - MYR2,200 Sebulan",2 days ago,"Customer Service, Food Preparation",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26268503-service-kitchen-crew,26268503,Service & Kitchen Crew,Johnny's Restaurant,"MYR1,900 - MYR2,200 Sebulan",Sepenuh Masa,"Putrajaya, Wilayah Persekutuan Putrajaya","MYR1,900 - MYR2,200 Sebulan",2 days ago,"Customer Service, Food Preparation",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26268020-service-kitchen-crew,26268020,Service & Kitchen Crew,Black Canyon Restaurant,"MYR1,900 - MYR2,200 Sebulan",Sepenuh Masa,"Putrajaya, Wilayah Persekutuan Putrajaya","MYR1,900 - MYR2,200 Sebulan",2 days ago,"Customer Service, Food Preparation",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26248427-supervisor-cafe,26248427,Supervisor (Cafe),Agensi Pekerjaan Jobs Kreate Sdn Bhd,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,"Putrajaya, Wilayah Persekutuan Putrajaya","MYR2,000 - MYR3,500 Sebulan",4 days ago,"Leadership, café operations",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26248420-pastry-chef-cafe,26248420,Pastry Chef (Cafe),Agensi Pekerjaan Jobs Kreate Sdn Bhd,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,"Putrajaya, WP Putrajaya","MYR2,000 - MYR3,500 Sebulan",4 days ago,Pastry,sepenuh-masa-putrajaya
https://www.maukerja.my/job/26246670-service-crew-putrajaya,26246670,Service Crew ( Putrajaya),Secret Recipe Cakes & Cafe Sdn Bhd,"MYR1,700 - MYR2,000 Sebulan",Sepenuh Masa,"Putrajaya, Wilayah Persekutuan Putrajaya","MYR1,700 - MYR2,000 Sebulan",5 days ago,"Adaptable, Fast learner",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26246684-service-crew-presint-15,26246684,Service Crew ( Presint 15),Secret Recipe Cakes & Cafe Sdn Bhd,"MYR1,700 - MYR2,000 Sebulan",Sepenuh Masa,"Putrajaya, Wilayah Persekutuan Putrajaya","MYR1,700 - MYR2,000 Sebulan",5 days ago,"Adaptable, Fast learner",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26245508-sales-executive,26245508,Sales Executive,IOI Grand Exhibition & Convention Centre,"MYR2,800 - MYR4,000 Sebulan",Sepenuh Masa,"Putrajaya, WP Putrajaya","MYR2,800 - MYR4,000 Sebulan",5 days ago,"Sales, Client Relationship Management",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26207720-barista-cafe,26207720,Barista (Cafe),Agensi Pekerjaan Jobs Kreate Sdn Bhd,"MYR2,000 - MYR3,500 Sebulan",Sepenuh Masa,"Putrajaya, WP Putrajaya","MYR2,000 - MYR3,500 Sebulan",9 days ago,"Grinder Calibration, Latte Art",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26162235-sales-engineer,26162235,Sales Engineer,KVC Industrial Supplies Sdn Bhd,"MYR4,000 - MYR7,000 Sebulan",Sepenuh Masa,"Putrajaya, Putrajaya","MYR4,000 - MYR7,000 Sebulan",15 days ago,"Sales Engineering, Technical Sales",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26141310-krew-dapur,26141310,Krew Dapur,Sushi Tei Malaysia Sdn Bhd,"MYR1,800 - MYR3,000 Sebulan",Sepenuh Masa,"Putrajaya, Selangor","MYR1,800 - MYR3,000 Sebulan",17 days ago,"Japanese Cuisine Knowledge, Food Preparation",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26141307-krew-dapur,26141307,Krew Dapur,Sushi Tei Malaysia Sdn Bhd,"MYR1,800 - MYR3,000 Sebulan",Sepenuh Masa,"Putrajaya, Selangor","MYR1,800 - MYR3,000 Sebulan",17 days ago,"Japanese Cuisine Knowledge, Food Preparation",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26141309-krew-dapur,26141309,Krew Dapur,Sushi Tei Malaysia Sdn Bhd,"MYR1,800 - MYR3,000 Sebulan",Sepenuh Masa,"Putrajaya, Selangor","MYR1,800 - MYR3,000 Sebulan",17 days ago,"Japanese Cuisine Knowledge, Food Preparation",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26141308-krew-dapur,26141308,Krew Dapur,Sushi Tei Malaysia Sdn Bhd,"MYR1,800 - MYR3,000 Sebulan",Sepenuh Masa,"Putrajaya, Selangor","MYR1,800 - MYR3,000 Sebulan",17 days ago,"Japanese Cuisine Knowledge, Food Preparation",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26162084-procurement-executive,26162084,Procurement Executive,KVC Industrial Supplies Sdn Bhd,"MYR2,600 - MYR4,500 Sebulan",Sepenuh Masa,"Putrajaya, Putrajaya","MYR2,600 - MYR4,500 Sebulan",15 days ago,"Procurement, Purchasing",sepenuh-masa-putrajaya
https://www.maukerja.my/job/26143870-supervisor-cinema-crew-putrajaya,26143870,SUPERVISOR (CINEMA CREW) - PUTRAJAYA,TGV Cinemas Sdn Bhd,Undisclosed,Sepenuh Masa,"Putrajaya, Wilayah Persekutuan Putrajaya",Undisclosed,17 days ago,"Supervising, Interpersonal skill",sepenuh-masa-putrajaya
