url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-selangor
https://www.maukerja.my/job/26454914-bookkeeper-assistant,26454914,Bookkeeper Assistant,Lucky Frozen Sdn Bhd,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",4 hours ago,"Accounting Software, Data Entry",sepenuh-masa-selangor
https://www.maukerja.my/job/26454915-junior-accountant,26454915,Junior Accountant,Lucky Frozen Sdn Bhd,"MYR2,000 - MYR3,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",4 hours ago,"Accounting Software, Data Entry",sepenuh-masa-selangor
https://www.maukerja.my/job/26457007-customer-service-executive-mandarin-speaker-petaling-jaya,26457007,Customer Service Executive (Mandarin Speaker) - Petaling Jaya,Envo BPO Services Sdn Bhd,"MYR2,800 - MYR3,500 monthly",Sepenuh Masa,"Petaling Jaya, Selangor",19 minutes ago,"Mandarin Chinese, Customer Service",sepenuh-masa-selangor
https://www.maukerja.my/job/26456707-production-manager,26456707,Production Manager,OTC Cosmetic Industries Sdn Bhd,"MYR7,000 - MYR8,000 Sebulan",Sepenuh Masa,"Ijok, Selangor",an hour ago,"Basic knowledge in cosmetic formulation, skincare",sepenuh-masa-selangor
https://www.maukerja.my/job/26456710-lori-pemandu,26456710,Lori Pemandu,Sunshine Kingdom Sdn Bhd,"MYR1,800 - MYR2,500 Sebulan",Sepenuh Masa,"Puchong, Selangor",an hour ago,"Valid Driver's License, Safe Driving Practices",sepenuh-masa-selangor
https://www.maukerja.my/job/26443860-production-crew-puncak-alam,26443860,Production Crew (Puncak Alam),MTC Frozen Food Sdn. Bhd.,"MYR1,700 - MYR2,000 Sebulan",Sepenuh Masa,"Bandar Puncak Alam, Selangor",10 hours ago,production crew,sepenuh-masa-selangor
https://www.maukerja.my/job/26454249-technical-assistant,26454249,Technical Assistant,Tonasco Malaysia Sdn Bhd,Undisclosed,Sepenuh Masa,"Shah Alam, Selangor",8 hours ago,"Mechanical Engineering, CAD Software",sepenuh-masa-selangor
https://www.maukerja.my/job/26454305-pembantu-qc,26454305,Pembantu QC,AE-Tronic (M) Sdn Bhd,"MYR2,000 - MYR2,800 Sebulan",Sepenuh Masa,Selangor,7 hours ago,"Material Inspection, Quality Control",sepenuh-masa-selangor
https://www.maukerja.my/job/26454306-production-quality-assistant,26454306,Production Quality Assistant,AE-Tronic (M) Sdn Bhd,"MYR2,000 - MYR2,800 Sebulan",Sepenuh Masa,Selangor,7 hours ago,"Material Inspection, Quality Control",sepenuh-masa-selangor
https://www.maukerja.my/job/26454307-inspection-assistant,26454307,Inspection Assistant,AE-Tronic (M) Sdn Bhd,"MYR2,000 - MYR2,800 Sebulan",Sepenuh Masa,Selangor,7 hours ago,"Material Inspection, Quality Control",sepenuh-masa-selangor
https://www.maukerja.my/job/26454308-quality-control-technician,26454308,Quality Control Technician,AE-Tronic (M) Sdn Bhd,"MYR2,000 - MYR2,800 Sebulan",Sepenuh Masa,Selangor,7 hours ago,"Material Inspection, Quality Control",sepenuh-masa-selangor
https://www.maukerja.my/job/26454309-quality-assurance-assistant,26454309,Quality Assurance Assistant,AE-Tronic (M) Sdn Bhd,"MYR2,000 - MYR2,800 Sebulan",Sepenuh Masa,Selangor,7 hours ago,"Material Inspection, Quality Control",sepenuh-masa-selangor
https://www.maukerja.my/job/26454310-laboratory-assistant,26454310,Laboratory Assistant,AE-Tronic (M) Sdn Bhd,"MYR2,000 - MYR2,800 Sebulan",Sepenuh Masa,Selangor,7 hours ago,"Material Inspection, Quality Control",sepenuh-masa-selangor
https://www.maukerja.my/job/26454867-property-agent,26454867,Property Agent,Wealth Momentum,"MYR5,000 - MYR15,000 Sebulan",Sepenuh Masa,"Petaling Jaya, Selangor",5 hours ago,"Sales Skills, Real Estate Knowledge",sepenuh-masa-selangor
https://www.maukerja.my/job/26456708-eksekutif-pemasaran-digital-pakar-tiktok,26456708,Eksekutif Pemasaran Digital (Pakar TikTok),Beutea Holding Sdn Bhd,"MYR3,300 - MYR6,000 Sebulan",Sepenuh Masa,"Puchong, Selangor",an hour ago,"Content Creation, Video Editing",sepenuh-masa-selangor
https://www.maukerja.my/job/26456709-eksekutif-marketplace-e-dagang,26456709,Eksekutif Marketplace & E-Dagang,Beutea Holding Sdn Bhd,"MYR3,300 - MYR6,000 Sebulan",Sepenuh Masa,"Puchong, Selangor",an hour ago,"Data Analysis, Stock Management",sepenuh-masa-selangor
