url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26444935-credit-control-executive,26444935,Credit Control Executive,Terra Group Holdings Sdn. Bhd.,"MYR4,000 - MYR5,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",12 hours ago,"Account Receivable, Billing",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26444364-pruchasing-executive,26444364,Pruchasing Executive,Bacteria Free Water Engineering (M) Sdn. Bhd.,"MYR3,000 - MYR4,500 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",13 hours ago,"Negotiation, Communication",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26429568-juruteknik-servis-aircond,26429568,Juruteknik - Servis Aircond,BeLive Ventures Sdn. Bhd.,"MYR2,000 - MYR2,800 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",a day ago,"Electrical Systems, Problem Solving",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/25782524-accountant,25782524,Accountant,V Plus Interior Sdn Bhd,"MYR3,000 - MYR5,500 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",14 hours ago,"Financial Accounting, Microsoft Excel",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26416172-sales-support,26416172,Sales Support,SKJ International Sdn. Bhd.,"MYR3,000 - MYR4,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",a day ago,"Mandarin, Communication",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26440872-quantity-surveyor-ss15-subang-jaya,26440872,"Quantity Surveyor (SS15, Subang Jaya)",Agensi Pekerjaan Dream Career Sdn Bhd,"MYR3,000 - MYR6,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",20 hours ago,Quantity Surveying,sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26418055-personal-assistant,26418055,Personal Assistant,Advance Industrial Solutions Sdn Bhd,"MYR3,500 - MYR5,500 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",a day ago,"Microsoft Office, Communication",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26418582-order-processing-clerk,26418582,Order Processing Clerk,Allsome Planet Sdn Bhd,"MYR2,800 - MYR4,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",a day ago,"Attention to Detail, Careful",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26414802-jurujual-barang-kemas,26414802,Jurujual Barang Kemas,Pointers,"MYR3,000 - MYR7,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",a day ago,"Communication Skills, Customer Service",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26444109-inside-sales-executive,26444109,Inside Sales Executive,Aonic Sdn Bhd,Undisclosed,Sepenuh Masa,"Subang Jaya, Selangor",15 hours ago,"Sales, Sales Management",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26315362-eksekutif-pengambilan-pekerja,26315362,Eksekutif Pengambilan Pekerja,JK Integrated Planning Sdn Bhd,"MYR3,000 - MYR4,000 monthly",Sepenuh Masa,"Subang Jaya, Selangor",16 hours ago,"Recruitment, Talent Acquisition",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26382787-accounts-assistant,26382787,Accounts Assistant,Access Mobile Marketing (M) Sdn. Bhd.,"MYR2,000 - MYR2,800 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",a day ago,"Bookkeeping, Accounts Payable",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26246136-physiotherapist,26246136,Physiotherapist,Xinature Physio & Rehab Centre,"MYR2,200 - MYR4,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",21 hours ago,"Mandarin Chinese, Physical Therapy",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26385235-social-media-content-creator,26385235,Social Media Content Creator,Dilooma Sdn Bhd,"MYR3,000 - MYR4,500 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",a day ago,"TikTok, Facebook and Instagram ads",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26386304-account-executive-mandarin,26386304,Account Executive (Mandarin),KarKarriers Sdn Bhd,"MYR4,500 - MYR5,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",a day ago,Accounts,sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26269054-audit-semi-senior-senior,26269054,Audit Semi Senior / Senior,CHI-LLTC,"MYR4,000 - MYR6,000 monthly",Sepenuh Masa,"Subang Jaya, Selangor",21 hours ago,"Auditing, Financial Reporting",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26315539-executive-assistant,26315539,Executive Assistant,Nexus Capital Sdn Bhd,"MYR3,500 - MYR5,250 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",21 hours ago,"Attention to Detail, Detail-Oriented",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26229319-food-server,26229319,Food Server,Golden Sub Sdn Bhd,"MYR1,800 - MYR2,000 Sebulan",Sepenuh Masa,"Subang Jaya, Selangor",a day ago,Customer Service,sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26426111-hvac-engineer,26426111,HVAC Engineer,NYKK Engineering Group Sdn Bhd,"MYR3,800 - MYR4,500 monthly",Sepenuh Masa,"Subang Jaya, Selangor",2 days ago,"Engineering, Sales",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26426115-applications-engineer-hvac,26426115,Applications Engineer (HVAC),NYKK Engineering Group Sdn Bhd,"MYR3,800 - MYR4,500 monthly",Sepenuh Masa,"Subang Jaya, Selangor",2 days ago,"Engineering, Sales",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26426116-design-engineer-hvac,26426116,Design Engineer (HVAC),NYKK Engineering Group Sdn Bhd,"MYR3,800 - MYR4,500 monthly",Sepenuh Masa,"Subang Jaya, Selangor",2 days ago,"Engineering, Sales",sepenuh-masa-subang-jaya
https://www.maukerja.my/job/26426080-project-engineer-hvac,26426080,Project Engineer (HVAC),NYKK Engineering Group Sdn Bhd,"MYR3,800 - MYR4,500 monthly",Sepenuh Masa,"Subang Jaya, Selangor",2 days ago,"Engineering, Sales",sepenuh-masa-subang-jaya
