url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sepenuh-masa-terengganu
https://www.maukerja.my/job/26427544-account-executive,26427544,Account Executive,Mun Chuen Transport Sdn Bhd,"MYR3,500 - MYR5,500 Sebulan",Sepenuh Masa,Terengganu,2 days ago,Accounting,sepenuh-masa-terengganu
https://www.maukerja.my/job/26427542-account-executive,26427542,Account Executive,Mun Chuen Transport Sdn Bhd,"MYR3,500 - MYR5,500 Sebulan",Sepenuh Masa,Terengganu,2 days ago,Accounting,sepenuh-masa-terengganu
https://www.maukerja.my/job/26427543-account-executive,26427543,Account Executive,Mun Chuen Transport Sdn Bhd,"MYR3,500 - MYR5,500 Sebulan",Sepenuh Masa,Terengganu,2 days ago,Accounting,sepenuh-masa-terengganu
https://www.maukerja.my/job/26427545-account-executive,26427545,Account Executive,Mun Chuen Transport Sdn Bhd,"MYR3,500 - MYR5,500 Sebulan",Sepenuh Masa,Terengganu,2 days ago,Accounting,sepenuh-masa-terengganu
https://www.maukerja.my/job/26202996-account-executive,26202996,Account Executive,Mun Chuen Transport Sdn Bhd,"MYR3,500 - MYR5,500 Sebulan",Sepenuh Masa,Terengganu,2 days ago,Accounting,sepenuh-masa-terengganu
https://www.maukerja.my/job/14486189-delivery-rider-part-time-dominos-pizza-kerteh,14486189,Delivery Rider (Part Time) ( Domino’s Pizza Kerteh ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kerteh, Terengganu",2 months ago,Any Skill,sepenuh-masa-terengganu
https://www.maukerja.my/job/14642324-crew-member-full-time-dominos-pizza-kerteh,14642324,Crew Member (Full Time) ( Domino’s Pizza Kerteh ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kerteh, Terengganu",2 months ago,Any Skill,sepenuh-masa-terengganu
https://www.maukerja.my/job/14486190-crew-member-part-time-dominos-pizza-kerteh,14486190,Crew Member (Part Time) ( Domino’s Pizza Kerteh ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Kerteh, Terengganu",2 months ago,Any Skill,sepenuh-masa-terengganu
https://www.maukerja.my/job/14486191-assistant-manager-dominos-pizza-kerteh,14486191,Assistant Manager ( Domino’s Pizza Kerteh ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kerteh, Terengganu",2 months ago,Any Skill,sepenuh-masa-terengganu
https://www.maukerja.my/job/14486188-restaurant-manager-dominos-pizza-kerteh,14486188,Restaurant Manager ( Domino’s Pizza Kerteh ),Domino's Pizza,"Up to MYR3,500 Sebulan",N/A,"Kerteh, Terengganu",2 months ago,Any Skill,sepenuh-masa-terengganu
