url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,shah-alam-all
https://www.maukerja.my/job/26454246-junior-mechanical-engineer,26454246,Junior Mechanical Engineer,Tonasco Malaysia Sdn Bhd,Undisclosed,Sepenuh Masa,"Shah Alam, Selangor",18 hours ago,"Mechanical Engineering, CAD Software",shah-alam-all
https://www.maukerja.my/job/26454244-assistant-engineer,26454244,Assistant Engineer,Tonasco Malaysia Sdn Bhd,Undisclosed,Sepenuh Masa,"Shah Alam, Selangor",18 hours ago,"Mechanical Engineering, CAD Software",shah-alam-all
https://www.maukerja.my/job/26454451-sales-engineer-senior-sales-engineer,26454451,Sales Engineer / Senior Sales Engineer,Tonasco Malaysia Sdn Bhd,Undisclosed,Sepenuh Masa,"Shah Alam, Selangor",16 hours ago,"Precision Machining, Sales",shah-alam-all
https://www.maukerja.my/job/26454247-associate-engineer,26454247,Associate Engineer,Tonasco Malaysia Sdn Bhd,Undisclosed,Sepenuh Masa,"Shah Alam, Selangor",18 hours ago,"Mechanical Engineering, CAD Software",shah-alam-all
https://www.maukerja.my/job/26454248-entry-level-engineer,26454248,Entry-Level Engineer,Tonasco Malaysia Sdn Bhd,Undisclosed,Sepenuh Masa,"Shah Alam, Selangor",18 hours ago,"Mechanical Engineering, CAD Software",shah-alam-all
https://www.maukerja.my/job/26454249-technical-assistant,26454249,Technical Assistant,Tonasco Malaysia Sdn Bhd,Undisclosed,Sepenuh Masa,"Shah Alam, Selangor",18 hours ago,"Mechanical Engineering, CAD Software",shah-alam-all
https://www.maukerja.my/job/26452310-e-commerce-executive,26452310,E-commerce Executive,Goodmorning Global Sdn Bhd,"MYR2,800 - MYR3,800 monthly",Sepenuh Masa,"Shah Alam, Selangor",an hour ago,"mandarin, ecommerce",shah-alam-all
https://www.maukerja.my/job/26452648-operations-officer,26452648,Operations Officer,Akar Security Services (M) Sdn. Bhd.,"MYR2,200 - MYR2,500 Sebulan",Sepenuh Masa,"Shah Alam, Selangor",a day ago,"Problem-solving, Time Management",shah-alam-all
https://www.maukerja.my/job/26452650-security-operations-coordinator,26452650,Security Operations Coordinator,Akar Security Services (M) Sdn. Bhd.,"MYR2,200 - MYR2,500 Sebulan",Sepenuh Masa,"Shah Alam, Selangor",a day ago,"Problem-solving, Time Management",shah-alam-all
https://www.maukerja.my/job/26440986-operation-executive-security-company,26440986,Operation Executive (Security Company),Akar Security Services (M) Sdn. Bhd.,"MYR2,200 - MYR2,500 Sebulan",Sepenuh Masa,"Shah Alam, Selangor",a day ago,"Problem-solving, Time Management",shah-alam-all
https://www.maukerja.my/job/26450375-pembantu-akaun,26450375,Pembantu Akaun,Versatile Gateway Sdn. Bhd. (Proton 3S),"MYR2,000 - MYR3,000 Sebulan",Kontrak,"Shah Alam, Selangor",an hour ago,"Proficiency in Excel, Attention to detail",shah-alam-all
https://www.maukerja.my/job/26452649-security-supervisor,26452649,Security Supervisor,Akar Security Services (M) Sdn. Bhd.,"MYR2,200 - MYR2,500 Sebulan",Sepenuh Masa,"Shah Alam, Selangor",a day ago,"Problem-solving, Time Management",shah-alam-all
