url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,terengganu-all
https://www.maukerja.my/job/26427544-account-executive,26427544,Account Executive,Mun Chuen Transport Sdn Bhd,"MYR3,500 - MYR5,500 Sebulan",Sepenuh Masa,Terengganu,3 days ago,Accounting,terengganu-all
https://www.maukerja.my/job/26427543-account-executive,26427543,Account Executive,Mun Chuen Transport Sdn Bhd,"MYR3,500 - MYR5,500 Sebulan",Sepenuh Masa,Terengganu,3 days ago,Accounting,terengganu-all
https://www.maukerja.my/job/26427545-account-executive,26427545,Account Executive,Mun Chuen Transport Sdn Bhd,"MYR3,500 - MYR5,500 Sebulan",Sepenuh Masa,Terengganu,3 days ago,Accounting,terengganu-all
https://www.maukerja.my/job/26427542-account-executive,26427542,Account Executive,Mun Chuen Transport Sdn Bhd,"MYR3,500 - MYR5,500 Sebulan",Sepenuh Masa,Terengganu,3 days ago,Accounting,terengganu-all
https://www.maukerja.my/job/26202996-account-executive,26202996,Account Executive,Mun Chuen Transport Sdn Bhd,"MYR3,500 - MYR5,500 Sebulan",Sepenuh Masa,Terengganu,3 days ago,Accounting,terengganu-all
https://www.maukerja.my/job/15678719-delivery-rider-part-time-dominos-pizza-kuala-ibai,15678719,Delivery Rider (Part Time) ( Domino's Pizza Kuala Ibai ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuala Terengganu, Terengganu",2 months ago,Any Skill,terengganu-all
https://www.maukerja.my/job/15678722-delivery-rider-part-time-dominos-pizza-jerteh,15678722,Delivery Rider (Part Time) ( Domino’s Pizza Jerteh ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Jerteh, Terengganu",2 months ago,Any Skill,terengganu-all
https://www.maukerja.my/job/14486189-delivery-rider-part-time-dominos-pizza-kerteh,14486189,Delivery Rider (Part Time) ( Domino’s Pizza Kerteh ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kerteh, Terengganu",2 months ago,Any Skill,terengganu-all
https://www.maukerja.my/job/15678721-delivery-rider-part-time-dominos-pizza-gong-badak,15678721,Delivery Rider (Part Time) ( Domino's Pizza Gong Badak ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Kuala Terengganu, Terengganu",2 months ago,Any Skill,terengganu-all
https://www.maukerja.my/job/15678718-delivery-rider-part-time-dominos-pizza-kemaman,15678718,Delivery Rider (Part Time) ( Domino's Pizza Kemaman ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,Terengganu,2 months ago,Any Skill,terengganu-all
https://www.maukerja.my/job/15678713-crew-member-full-time-dominos-pizza-kuala-ibai,15678713,Crew Member (Full Time) ( Domino's Pizza Kuala Ibai ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kuala Terengganu, Terengganu",2 months ago,Any Skill,terengganu-all
https://www.maukerja.my/job/15678712-crew-member-full-time-dominos-pizza-kemaman,15678712,Crew Member (Full Time) ( Domino's Pizza Kemaman ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,Terengganu,2 months ago,Any Skill,terengganu-all
https://www.maukerja.my/job/15678725-crew-member-part-time-dominos-pizza-kuala-ibai,15678725,Crew Member (Part Time) ( Domino's Pizza Kuala Ibai ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Kuala Terengganu, Terengganu",2 months ago,Any Skill,terengganu-all
https://www.maukerja.my/job/14642324-crew-member-full-time-dominos-pizza-kerteh,14642324,Crew Member (Full Time) ( Domino’s Pizza Kerteh ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Kerteh, Terengganu",2 months ago,Any Skill,terengganu-all
https://www.maukerja.my/job/15678716-crew-member-full-time-dominos-pizza-jerteh,15678716,Crew Member (Full Time) ( Domino’s Pizza Jerteh ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Jerteh, Terengganu",2 months ago,Any Skill,terengganu-all
https://www.maukerja.my/job/26375937-sales-advisor-nissan-kuala-terengganu,26375937,SALES ADVISOR | NISSAN KUALA TERENGGANU,Edaran Tan Chong Motor (Selatan) Sdn Bhd,"MYR1,700 - MYR5,000 Sebulan",Sepenuh Masa,Terengganu,9 days ago,Sales experience,terengganu-all
https://www.maukerja.my/job/26266827-kru-kasual-hari-raya-haji-mcdonalds-pandu-lalu-marang,26266827,Kru Kasual - Hari Raya Haji ( McDonald's Pandu Lalu Marang ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Marang, Terengganu",16 days ago,Any Skill,terengganu-all
https://www.maukerja.my/job/26269074-store-supervisor,26269074,Store Supervisor,Tealive Asia,"MYR2,050 - MYR2,500 Sebulan",Sepenuh Masa,Terengganu,16 days ago,"leadership, Scheduling",terengganu-all
