url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/26246769-mandarin-interpreter,26246769,Mandarin Interpreter,Devloit Sdn. Bhd.,"MYR5,000 - MYR6,500 Per Month","Full Time,",WP Kuala Lumpur,"MYR5,000 - MYR6,500 Per Month",3 days ago,"Interpretation, Customer Service",wfh-all
https://www.maukerja.my/job/26246773-interpreter-specialist-mandarin,26246773,Interpreter Specialist (Mandarin),Devloit Sdn. Bhd.,"MYR5,000 - MYR6,500 Per Month","Full Time,",WP Kuala Lumpur,"MYR5,000 - MYR6,500 Per Month",3 days ago,"Interpretation, Customer Service",wfh-all
https://www.maukerja.my/job/26246770-english-mandarin-interpreter,26246770,English-Mandarin Interpreter,Devloit Sdn. Bhd.,"MYR5,000 - MYR6,500 Per Month","Full Time,",WP Kuala Lumpur,"MYR5,000 - MYR6,500 Per Month",3 days ago,"Interpretation, Customer Service",wfh-all
https://www.maukerja.my/job/26246772-virtual-interpreter-mandarin,26246772,Virtual Interpreter (Mandarin),Devloit Sdn. Bhd.,"MYR5,000 - MYR6,500 Per Month","Full Time,",WP Kuala Lumpur,"MYR5,000 - MYR6,500 Per Month",3 days ago,"Interpretation, Customer Service",wfh-all
https://www.maukerja.my/job/26246771-remote-language-interpreter,26246771,Remote Language Interpreter,Devloit Sdn. Bhd.,"MYR5,000 - MYR6,500 Per Month","Full Time,",WP Kuala Lumpur,"MYR5,000 - MYR6,500 Per Month",3 days ago,"Interpretation, Customer Service",wfh-all
https://www.maukerja.my/job/26246767-remote-interpreter-mandarin-excellent-english-wfh,26246767,Remote Interpreter (Mandarin + Excellent English)-wfh,Devloit Sdn. Bhd.,"MYR5,000 - MYR6,500 Per Month","Full Time,",WP Kuala Lumpur,"MYR5,000 - MYR6,500 Per Month",2 days ago,"Interpretation, Customer Service",wfh-all
https://www.maukerja.my/job/26194097-b2b-sales-specialist,26194097,B2B Sales Specialist,Arvion Services Sdn Bhd,"MYR4,000 - MYR6,500 monthly","Full Time,",WP Kuala Lumpur,"MYR4,000 - MYR6,500 monthly",9 days ago,"Sales experience, Fintech",wfh-all
https://www.maukerja.my/job/26194101-client-relationship-specialist,26194101,Client Relationship Specialist,Arvion Services Sdn Bhd,"MYR4,000 - MYR6,500 monthly","Full Time,",WP Kuala Lumpur,"MYR4,000 - MYR6,500 monthly",9 days ago,"Sales experience, Fintech",wfh-all
https://www.maukerja.my/job/26194099-junior-sales-executive,26194099,Junior Sales Executive,Arvion Services Sdn Bhd,"MYR4,000 - MYR6,500 monthly","Full Time,",WP Kuala Lumpur,"MYR4,000 - MYR6,500 monthly",9 days ago,"Sales experience, Fintech",wfh-all
https://www.maukerja.my/job/26194100-account-representative,26194100,Account Representative,Arvion Services Sdn Bhd,"MYR4,000 - MYR6,500 monthly","Full Time,",WP Kuala Lumpur,"MYR4,000 - MYR6,500 monthly",9 days ago,"Sales experience, Fintech",wfh-all
https://www.maukerja.my/job/26194098-business-development-representative,26194098,Business Development Representative,Arvion Services Sdn Bhd,"MYR4,000 - MYR6,500 monthly","Full Time,",WP Kuala Lumpur,"MYR4,000 - MYR6,500 monthly",9 days ago,"Sales experience, Fintech",wfh-all
https://www.maukerja.my/job/26228826-personal-assistant,26228826,Personal Assistant,Dickson Chen Di Shan,"MYR2,500 - MYR3,000 Per Month","Full Time,",WP Kuala Lumpur,"MYR2,500 - MYR3,000 Per Month",14 hours ago,"Scheduling and Calendar Management, Communication (Written and Verbal)",wfh-all
https://www.maukerja.my/job/26194073-sales-representative-b2b-mandarin-cantonese-speaker,26194073,Sales Representative (B2B) - Mandarin & Cantonese Speaker,Arvion Services Sdn Bhd,"MYR4,000 - MYR6,500 monthly","Full Time,",WP Kuala Lumpur,"MYR4,000 - MYR6,500 monthly",4 days ago,"Sales experience, Fintech",wfh-all
https://www.maukerja.my/job/26213567-agrochemical-fertiliser-sales-executive-johor,26213567,Agrochemical / Fertiliser Sales Executive (Johor),Agensi Pekerjaan Times Management Consultancy Sdn. Bhd.,"MYR4,800 - MYR6,000 Per Month","Full Time,","Johor Bahru, Johor","MYR4,800 - MYR6,000 Per Month",7 days ago,"Dealer & Distributor Management, Fertiliser & Agrochemical Product Knowledge",wfh-all
https://www.maukerja.my/job/26156553-telesales-executive,26156553,Telesales Executive,Aetherion Dataworks Sdn. Bhd.,"MYR2,700 - MYR3,000 monthly","Full Time,",WP Kuala Lumpur,"MYR2,700 - MYR3,000 monthly",13 hours ago,"Cold Calling, Customer Service",wfh-all
https://www.maukerja.my/job/26206426-senior-it-business-analyst,26206426,Senior IT Business Analyst,Agensi Pekerjaan & Perundingcara Bright Prospect Sdn Bhd,"MYR8,000 - MYR13,000 Per Month","Full Time,",WP Kuala Lumpur,"MYR8,000 - MYR13,000 Per Month",8 days ago,"Systems Analysis, SDLC Knowledge",wfh-all
https://www.maukerja.my/job/26194621-social-media-coordinator,26194621,Social Media Coordinator,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Per Month","Contract,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Per Month",9 days ago,"Community Management, Social Media Marketing",wfh-all
https://www.maukerja.my/job/26194622-community-specialist,26194622,Community Specialist,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Per Month","Contract,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Per Month",9 days ago,"Community Management, Social Media Marketing",wfh-all
https://www.maukerja.my/job/26194623-community-coordinator,26194623,Community Coordinator,Enzee Integrated Sdn Bhd,"MYR1,800 - MYR2,000 Per Month","Contract,","Petaling Jaya, Selangor","MYR1,800 - MYR2,000 Per Month",9 days ago,"Community Management, Social Media Marketing",wfh-all
