url,job_id,title,company,salary,job_type,location,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wfh-pulau-pinang
https://www.maukerja.my/job/26453890-cantonese-customer-service-ipoh-wfh,26453890,Cantonese Customer Service (IPOH WFH),Inov8 Solutions Sdn. Bhd.,"MYR4,000 - MYR4,500 Sebulan","Sepenuh Masa,",Pulau Pinang,13 hours ago,"Customer Service, Cantonese",wfh-pulau-pinang
https://www.maukerja.my/job/26192172-customer-service-representative-cantonese-penang,26192172,Customer Service Representative - Cantonese (Penang),Teleperformance Malaysia Sdn Bhd,"MYR3,000 - MYR4,000 Sebulan","Sepenuh Masa,",Pulau Pinang,25 days ago,Cantonese Language Proficiency,wfh-pulau-pinang
https://www.maukerja.my/job?jobId=26432876&slug=senior-program-manager-backend-operations-strategy,N/A,Senior - Program Manager – Backend Operations Strategy,Sandisk,Undisclosed,"Sepenuh Masa,",Malaysia,3 days ago,N/A,wfh-pulau-pinang
https://www.maukerja.my/job?jobId=26457579&slug=packaging-engineer,N/A,Packaging Engineer,Western Digital,Undisclosed,"Sepenuh Masa,",Bayan Lepas,13 hours ago,N/A,wfh-pulau-pinang
https://www.maukerja.my/job?jobId=26341629&slug=r-d-expert-analog-engineer,N/A,R-D Expert Analog Engineer,"Keysight Technologies, Inc.",Undisclosed,"Sepenuh Masa,",Bayan Lepas,11 days ago,N/A,wfh-pulau-pinang
https://www.maukerja.my/job?jobId=26340569&slug=senior-strategic-sourcing-manager-heads-media,N/A,Senior Strategic Sourcing Manager – Heads - Media,Western Digital,Undisclosed,"Sepenuh Masa,",Bayan Lepas,11 days ago,N/A,wfh-pulau-pinang
https://www.maukerja.my/job?jobId=26302429&slug=fluent-english-account-manager-asian-market,N/A,(fluent English) Account Manager (Asian Market),SupportYourApp,Undisclosed,"Sepenuh Masa,",George Town,15 days ago,N/A,wfh-pulau-pinang
https://www.maukerja.my/job?jobId=26299448&slug=customer-service-officer,N/A,Customer Service Officer,Megan Jewellery Sdn Bhd,Undisclosed,"Sepenuh Masa,",Butterworth,15 days ago,N/A,wfh-pulau-pinang
https://www.maukerja.my/job?jobId=26284420&slug=engineering-support-assistant-3,N/A,Engineering Support Assistant 3,Emerson,Undisclosed,"Sepenuh Masa,",Bayan Lepas,15 days ago,N/A,wfh-pulau-pinang
