method,run,time_sec,cpu_%,memory_mb,throughput,avg_time_sec,avg_cpu_%,avg_memory_mb,avg_throughput,speedup_vs_baseline
pandas_baseline,1,0.9383,76.7,39.38,12799.0,,,,,
pandas_baseline,2,1.1265,68.9,39.38,10661.0,1.1751,66.43,39.38,10561.0,1.0
pandas_baseline,3,1.4605,53.7,39.38,8223.0,,,,,
pandas_optimized,1,1.1982,50.9,3.78,10024.0,,,,,
pandas_optimized,2,0.3553,100.5,3.78,33799.0,0.635,84.33,3.78,25998.0,1.85
pandas_optimized,3,0.3515,101.6,3.78,34171.0,,,,,
polars,1,0.1684,183.7,0.04,71337.0,,,,,
polars,2,0.2035,147.0,0.04,59009.0,0.1777,172.03,0.04,68291.0,6.61
polars,3,0.1611,185.4,0.04,74528.0,,,,,
pyspark,1,2.3153,6.0,0.22,5187.0,,,,,
pyspark,2,1.403,10.0,0.21,8560.0,1.7017,8.7,0.22,7469.0,0.69
pyspark,3,1.3867,10.1,0.22,8661.0,,,,,
