comment_id,parent_id,comment_type,author,text,like_count,reply_count,published_at,video_id,video_title
UgwD0xAhOkfF5igvEQF4AaABAg,,top_level,@Hasif_Nidzam,"Say NO! to subsidy for destruction. GO! green technology. All hail Nature & Earth, a blessing from Allah to humankind (ummah).",0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
Ugw66ZF14ReAbgVlgbx4AaABAg,,top_level,@asaizanm,"in malaysia . the reality is far beyong nightmare ,thats all",0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgzmIiDCx57h-93MWGB4AaABAg,,top_level,@ngrobert5054,Since the lowest you pay for us sohai,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgxCaZX3Zc_dUVAH0sh4AaABAg,,top_level,@yeongvoonkang1966,"Diesel price didn’t ‘ jumped’, it was ‘normalised’.",0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgyzxxHFCcnzvFEFVql4AaABAg,,top_level,@maxbuzz4061,alot of business will seize this golden opportunity to increase prices beyond the increase in diesel prices,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
Ugw8VCHakNQtgKoBaER4AaABAg,,top_level,@drflying7491,"As per you said the help given ONLY $42 dolar @ RM200 p/m, is definitely nothing‼️
The biggest impact is towards Farming / Fisherman ppl.",0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgyBkSmEWkr-7qSzum94AaABAg,,top_level,@akmalirwan6435,"telo anwar dh turun 3sen...
bercukurlah😂",0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
Ugybi2meUlT5PPLNqq14AaABAg,,top_level,@calebfwm,Afifah seems to be happy living in Malaysia 😂,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
Ugw7heGXKF1YChcAzG14AaABAg,,top_level,@a1aska410,Alamak !kena  pakai kereta lembu sekejap hari lagi!,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgxG-58ozn98tQ9HDHl4AaABAg,,top_level,@Melakaexplorer,Fake news. It is not 50%,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgwRy2NVmRDayGPDQU94AaABAg,,top_level,@dnsudinshdnsudinsh5414,Lesson Learned If we elected a leader that follows IMF Rules the citizens will suffer.,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgzYdnggZoZPKaJ1GYh4AaABAg,,top_level,@pangkiatloh4555,"Sanusi said "" Nuar Liar-2. Useless.""
PHBN= Pakatan Harga Barang Naik 👎👎👎👎👎👎👎",0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
Ugw2q80_WWZuqdSRAyF4AaABAg,,top_level,@zubinnt,Sill cheap compared to sg price. Why don’t we have market prices unlike super taxed price ?,1,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgybT-0O3SXQ11Hhlbt4AaABAg,,top_level,@hamkaling4458,Always blame previous government,1,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgwG2FCIhTBc2vSalO94AaABAg,,top_level,@athwan_ganteng,Now Indonesia is the only country in south east asia that give subsidy to diesel,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgxezUISrs2UeoDtbD54AaABAg,,top_level,@rosalindwong8778,Still the lowest in Asean,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgwosxRZpXm-9A3xeYN4AaABAg,,top_level,@chrisloh88,The indian uncle talk as if previously he pump diesel is totally free 😂,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgxgQP7775vB1qlpRBd4AaABAg,,top_level,@idrissulaiman5450,Harga diesel nak pun depa mampu bayak.,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgxFw1ple_jwH3bHSNR4AaABAg,,top_level,@mikatsum57,Wrong formula. Gov .back to jungle,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
Ugxb71WZKKs6og7RJod4AaABAg,,top_level,@etphonehome6950,still cheap. 3.5,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgyF5y4nu_7wInNiRQ14AaABAg,,top_level,@tajambatu06,No more vote to roket dacing n mata lebam,0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
Ugy_hphVufX7G_DKeaR4AaABAg,,top_level,@chowwilson9098,"Check ! All price increases. Take note  ! Don’t take advantage to increase all prices , be sincere . Thanks",0,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgxBeERcBRAIhSqjUGZ4AaABAg,,top_level,@dollarquantums,This will indirectly affect Singapore consumers too since we import lots of foods from Malaysia. Gg my chicken rice.,1,1,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgxBeERcBRAIhSqjUGZ4AaABAg.A4c_4C9l4-YA4i3EafQBwe,UgxBeERcBRAIhSqjUGZ4AaABAg,reply,@athwan_ganteng,Import from Indonesia then,0,1,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgxBeERcBRAIhSqjUGZ4AaABAg.A4c_4C9l4-YA4j1mRSsWsS,UgxBeERcBRAIhSqjUGZ4AaABAg.A4c_4C9l4-YA4i3EafQBwe,reply,@dollarquantums,@athwan_ganteng  Even more expensive,2,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
UgwUW_movj1YbxqJ9IN4AaABAg,,top_level,@saidali8418,"' Smart ' move Anwar  , what happened to the phrase you once coined during your campaign  ' If tomorrow my factions wins the elections  i will definitely put down the price of fuel in this country ' , Remember  , DIGITAL FOOTPRINTS NEVER LIES .",8,0,2025-06-13T00:00:00+00:00,LmfFs0KWJjA,Diesel prices jump over 50% in Malaysia as blanket subsidies end
