video_id,comment
NnqTib39sao,I like it... from philippines
NnqTib39sao,😍😍😍
NnqTib39sao,❤Fire❤
NnqTib39sao,❤❤🎉🎉😊
NnqTib39sao,2025 hadir🥹
NnqTib39sao,"Salam Aidilfitri, Selamat Hari Raya 2025🎉🎉🎉🎉"
NnqTib39sao,Lagu raya yg simple tp best!! 🫰🏻
NnqTib39sao,rindu najwa latiff
NnqTib39sao,Ada ketenangan bila dgr lagu ni...dah 2025..sapa setuju???
NnqTib39sao,2:10
NnqTib39sao,Selamat hari raya Aidilfitri maaf zahir dan batin 2025
NnqTib39sao,The best modern raya song
NnqTib39sao,Happy hari raya
NnqTib39sao,selamat Hari raya jat ❤
NnqTib39sao,Raya tahun ni terasa sekejap je 😢😢
NnqTib39sao,Heo mho🎂🎊🎉
NnqTib39sao,Dah 2025 sedap lg lagu ni
NnqTib39sao,💙💙💙💙💙💙
NnqTib39sao,2025 masih Best lagu raya ni❤
NnqTib39sao,🐈 oyen nak wit raya
NnqTib39sao,Ada ketenagan bila dgr Lagu
NnqTib39sao,65
NnqTib39sao,SEBAB TU TAKKAN MELAYU HILANG DIDUNIA...KITA ADA 9RAJA2 MELAYU SANA ADA 1RAJA...KENA BETULKAN BARU LAH SELAMAT LAN SEMUA NEGARA FAHAMAN...
NnqTib39sao,"saya dari indonesia, dan sangat menyukai lagu hari raya versi malaysia dri dulu,"
NnqTib39sao,💙💙💙💙
NnqTib39sao,Happy eid ftr Mubarak to all Muslim brothers and sisters May Allah bless you and your whole family greetings from Philippines 🇵🇭❤
NnqTib39sao,Salam aidilfitri 2025🎉🎉
NnqTib39sao,Raya pertama 2025
NnqTib39sao,Satu hari dihari raya karaoke
NnqTib39sao,ฉันมาจาก2025🎉❤
NnqTib39sao,rindu raya time2 mcm ni. Rumah kampung suasana kg. Sekarang dah xde smua tu.
NnqTib39sao,masih minat lagu ni..dimalam raya 2025
NnqTib39sao,2025 🥰🥰🥰
NnqTib39sao,Every year
NnqTib39sao,2025
NnqTib39sao,Lagu ini membuat saya jadi gembira ❤❤❤❤
NnqTib39sao,"sehari lagi dah raya bah, 31 mac 2025"
NnqTib39sao,Masuk
NnqTib39sao,Esok raya
NnqTib39sao,"Lagu ni legend , still fresh 😊"
NnqTib39sao,Saya orang indonesia dari sekian banyak lagu raya. Hanya ini yg aku suka sampai hafal lirik nya ❤
NnqTib39sao,Eid Mubarak kasih sayang ku 2025
NnqTib39sao,Ada lagu raya Indonesia?
NnqTib39sao,2hari lagi nak raya 🎉 tahun 2025. Mengimbau betul zaman sekolah lagu ni. Lawa bethol ye mimie haris tu.
NnqTib39sao,Jumpa 2026
NnqTib39sao,anyone in 2025?👀
