text,Sentiment Label,,,
4:31 LIM JU KYUNG’S SHIRT !?,0,,,
Malaysia is so under rated. Its a beautiful country!,1,,,
"I believe where you are now is the top 3
Island beach",1,,,
Missed you guys!,1,,,
THE FOOD LOOKS SO GOOD HOPE YOU ENJOYEDDD,1,,,
Very nice vlog,1,,,
You don't need make up! You are a natural beauty!!,1,,,
The attractions were overrated and too commercialized in Malaysia.,-1,,,
Public transportation in Malaysia is confusing and unreliable.,-1,,,
Your vlog of thailand was really nice.....this place is nothing much,1,,,
Nice,1,,,
"Superb video as always - your videos make me want to visit, immediately!",1,,,
"For that food I will pay around 18€ in my country and all I can see is a brick wall.
Thumbs up, very nice video.",1,,,
"I just want to say like, the food u tried is like sooo common u can actually find it anywhere and yes im Malaysian",1,,,
These are called remora fish,0,,,
cannot wait to see you visiting Indonesia on the next trip!,1,,,
"I was searching for your video visit pakistan,but couldn't find, you never been in pakistan,?",-1,,,
"6:41 reminds me of my childhood 
10:09 
10:00 13:47 18:55 noted",0,,,
and please visit Bangalore India dats happening n osum place in south india,0,,,
"try saying this ""BOO KIT"" ""BEEN TOUNGE""",0,,,
Fantastic video mate. These are always so well made,1,,,
Not much to see in Malaysia compared to other Southeast Asian countries.,0,,,
"Love Malaysia and all it's people, wonderful country and a great people",1,,,
"Just don't go to the west coast of Tioman island in the offseason, january-february. The people don't take care of the place everything's dirty and most of the restaurants are closed.",-1,,,
"Not Ba-kit Bintang, it's boo-kit bintang. Pasar Se-nee, not pasar se-nai.",0,,,
"Welcome to Malaysia Nikki Proshin, Malaysia truly asia.",1,,,
Had trouble finding vegetarian food in Malaysia.,-1,,,
actually the nasi lemak is a coconut milk rice...,0,,,
everything about this video are chef kiss,1,,,
The attractions were overrated and too commercialized in Malaysia.,-1,,,
let's goooooooooooooo !!!!!!!!!,1,,,
Name of the hotel? I missed it?,0,,,
Flooded cabinet,0,,,
You look like young Bill Gates.,1,,,
"Always incredible content, Phoebe. Thanks for what you do hon it's always dope to travel I enjoy traveling the world take care God bless",1,,,
Really enjoyed watching your video... can you please tell us the name of the hotel please cos we are going to Malaysia next week and  we really like the hotel,1,,,
Bring your friends next time!,1,,,
"I love everything about vlog videos!  very detail and straightforward. Maybe next time, you can collaborate with a Malaysian YouTuber and explore many places in Malaysia 
Please come to Penang Malaysia",1,,,
Had trouble finding vegetarian food in Malaysia.,-1,,,
THIS VIDEO MADE ME BECOME PROUD BEING A MALAYSIAN I LOVE IT,1,,,
Not much to see in Malaysia compared to other Southeast Asian countries.,0,,,
Surprised you could finish 1 nasi lemak + 0 pratas.,1,,,
guess I found my comfort channel,1,,,
Yesssss Malaysia’s resorts are the BEST !!!! Not Bali or Thailand . And I’m not Malaysian. Just a tourist who keeps coming back because it’s an amazing country,1,,,
Everything was overpriced in the tourist areas of Malaysia.,-1,,,
can you share the name of the hotel,0,,,
We're planning to go Penang in February but missed out. Must visit next time. From Italy.,0,,,
The beach in Malaysia was too crowded and dirty.,-1,,,
