text,label,source
Know what's scary? Serena was mildly injured a little after Wimbledon and sat out before the US Open.  She could win with that formula.,1,tweet_eval
When we all agreed that we wanted to see the return of the tour I don't think we mean Tuesday Tests and meaningless Barbarians games.,0,tweet_eval
@user when will the 20th Anniversary PS4 controller be available and for how much is it likely to go for?,1,tweet_eval
"""Want to go the cinema on my day off tomorrow, but Inside Out or Ant-Man? Will IO be full of kids? So torn right now.""",1,tweet_eval
"""Agh, I'm going to Northglenn on Monday lol just sit in my classes""",1,tweet_eval
im malaysian! ❤,2,youtube_scraped
too much cravey,0,youtube_scraped
"i hate to be ""that guy"" but you keep using ""alas"" wrong..",0,youtube_scraped
Alan Benjamin-n. @user Have you seen these inviting Katy Perry images? You may want to see:,1,tweet_eval
"""Since Seth Rollins has stolen Finn Balor's Sling Blade and His finisher, he may as well steal his entrance... #BGSummerSlam""",0,tweet_eval
24:55 you are absolutely right,2,youtube_scraped
"im very good with spice but sadly, sadly i cant eat it because my nose starts running i start sneezing uncontrollably. and my doctor told me not to take spicy foods which actually makes me loose appetite bc spice adds flavor",0,youtube_scraped
"@user Nothing fair about it. It was mostly unarmed civilians who were murdered, by the IRA, the UVF, &amp; by 1 Para on Bloody Sunday""",0,tweet_eval
tf mark..u don't ate sambal belacan like that..it suppose to go with a spoon of rice.,0,youtube_scraped
as an malaysian i love you guys thank you for visiting the malaysia ❤,2,youtube_scraped
"what a load of bullocks.. i seen you had those potato leaves in your mouth eating this, when you were talking .. for those who dont know , those leaves neutralize the spice, meaning makes it less hotter then what it really is.. no one absolutely no one eats a dish that is supposed to be this spicy with a smile on their face, freely talking.. and to think you all leave the dancing monkey actual money tips in your comments as well. guy has a 11 million subs, he doesnt need your hard 9-5 earned laborous job money, that you could spend on your bills or kids..",0,youtube_scraped
David Price gets first loss with Blue Jays despite fine effort Monday,0,tweet_eval
the absolute best way to eat the spiciest malaysian dish is to avoid it altogether. eeish!!,2,youtube_scraped
"i love your videos so much! i would love to see the ingredients listed, for example what went into the fruit salad? i don't know a lot of these ingredients and would love to learn what they are.",2,youtube_scraped
"""Gandhi:There may be violence, but then again the landlords may cooperate Fischer:You are an optimist Gandhi:They might cooperate by fleeing""",1,tweet_eval
i would love to taste this food. i watch and feel like i’m starving!,2,youtube_scraped
this is self harm atp bro,0,youtube_scraped
@user @user @user Most number of Muslims in the world R killed by fellow Muslims!1st sort it out&amp; then bark against Hindus,0,tweet_eval
that fish is called terubok..,1,youtube_scraped
"@user it's pretty sad, Rooney may be the last one for a long time now unless players like sterling, Kane, stones, Wilson""",0,tweet_eval
Jonas Brothers are gonna go live at Fort Canning on the 22nd. Hmmmm.,1,tweet_eval
your teeth shine very brightly. you can see that you whitened them.,2,youtube_scraped
"you are finally in malaysia.. should have come here long time ago, you don't know what you'd missed 😂😅 anyway, better late than never, enjoy!",2,youtube_scraped
monday is going to be so strange when i go back to school to get my GCSE stuff,1,tweet_eval
as malaysian you should eat nasi goreng usa,1,youtube_scraped
"""i can't find my school uniform, guess i'm going in naked tomorrow""",0,tweet_eval
please make more israel food tour i loved those videos of eating israel food,2,youtube_scraped
i like the malaysian foods,2,youtube_scraped
"i don't expected you gonna come to my country,i follow almost 2year, but i never expect you come to,btw welcome to malaysia ❤",0,youtube_scraped
"16:58 july 27th, 2024. good morning 🌅 mark. from gilbert az usa 🇺🇸🙂. nice to see you again. i just got done watching your hong kong series. that was amazing. now moving on. so how long will you be in penang, malaysia. is this going to be a serious. all of the food dishes loved really good. and i know lalaxsa is absolutely your your favorite dish. it looks so delicious. and of course you have to have extra 🔥🥵 spice. question ❓ does ying and micah share your meal or do they order there own food? well as always have healthy blessings and happy adventures to you and your family. many new videos 🎥 to come. 28:37",2,youtube_scraped
i love ur video i just wish u were in the us to try food,2,youtube_scraped
@user I was like Shy Glizzy bouta be up at DC Star Saturday and he said Nigga no im not,0,tweet_eval
@user idk I just wanted to make convo since my phone is kinda ruined because pool and I'm using like a 3rd generation iPod lol so,0,tweet_eval
@user I have don my login for the 21st and it won't let me have my Randy orton,1,tweet_eval
"""Galaxy S II can be wiped by just clicking a link, other TouchWiz devices may also be vulnerable #ops""",0,tweet_eval
love the video but the chopsticks technique is distracting. the are always grabbed way too far in the middle/front.,0,youtube_scraped
i'm malaysia too,1,youtube_scraped
endless plastic garbage,0,youtube_scraped
Can't find a ride to Jason Aldean Thursday so looks like I'm not going,0,tweet_eval
those butterworth breakfast noodles looked like one of the best bowls of food i've ever seen,2,youtube_scraped
"um, malaysia didn't invent curry and rice. they must have stolen it from india- which they are next to! and that soup just looks like chinese 'sweet and sour"" with noodles-. that noodle dish looks like it's just pad thai. these malaysians are stealing recipes from all over asia. fun fact: noodles was invented in china, marco polo stole it from them, and brought it back to europe..",0,youtube_scraped
c'mon. you GOTTA love this guy! @user Donald Trump says Jeb Bush should 'set the example' by speaking English only,1,tweet_eval
@user @user @user How on earth did you make that leap? The IRA lie about Corbyn hasbeen debunked,0,tweet_eval
@user   What time is the town hall meeting @ Anderson w. Rick Perry tomorrow ?,1,tweet_eval
the fact that you can speak coherently after that?? freaking impressive!,2,youtube_scraped
Ajay Devgan starrer 'Baadshaho' to be released on Republic day 2017 (26th jan 17) which Directed by Milan...,1,tweet_eval
asia destroys the whole world on food. it’s not even close,0,youtube_scraped
just you wait till tomorrow..,1,youtube_scraped
let's congratulate the malaysians for dealing with hunger. 6 wonderful meals a day for the average malaysian and obesity is not a problem. what is america doing wrong when the poor no longer can afford a kids meal at mcdonald's meant for an adult.,0,youtube_scraped
wow mark! the way u ate that nasi kukus definitely thats very malay method! 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,2,youtube_scraped
"delicious 😋 i miss your commentary though, i love yo hear your observations too!",2,youtube_scraped
"'Angela Merkel' stars in lesbian magazine ad: Wednesday sees the launch of new magazine ""Straight,"" aimed at g...",1,tweet_eval
13:35 one of my faves!,2,youtube_scraped
"""Do more with less, George Osborne says with talk of 40% more cuts. You do less with less and guess who suffers?""",0,tweet_eval
"i love durian, one of my favorite fruit. i love well my whole family love your channel 😍🥰❤",2,youtube_scraped
street food or malaysian call night street market..all delicious with cheap price,2,youtube_scraped
welcome to my place,2,youtube_scraped
terima kasih ya nick and carrier lupa sedap makanan tu,1,youtube_scraped
#IWillNeverUnderstandWhy Hot jam is on a Monday shit dont make any sense,0,tweet_eval
wow you take eating xx spicy seriously. well done.,2,youtube_scraped
apa ne guna sudu kita malaysia guna tangan,1,youtube_scraped
@user cancelled my Netflix in June but it has taken 2 payments out. Who do I contact about this?,1,tweet_eval
proud to be a malaysian,2,youtube_scraped
sadly durian auntie ripped you off big time. malay ikan bakar uncles would never do that. judge how you will.,0,youtube_scraped
"""VH1\u2019s \""""Mob Wives\"""" Celebrate the 20th Anniversary of the @user Clothing Line in New York City - @user",1,tweet_eval
@user gonna be really sad if I wake up tomorrow morning and Justin Bieber is not under the tree,0,tweet_eval
love when youre in malaysia!!,2,youtube_scraped
*pulled teatarik means pull,1,youtube_scraped
"""Dana White says if Ronda wants an immediate rematch, she'll get it. Other commitments may take precedence.""",1,tweet_eval
adding more cucumber to the laksa tastes like heaven.,2,youtube_scraped
"amazing yummy food showing, now i am mouthwatering with your video. thanks for your sharing",2,youtube_scraped
WISCONSIN: Remember to Vote Tomorrow! Consider it Practice for Recalling Walker. Practice Makes Perfect. #WIunion #wirecall #p2,1,tweet_eval
"howdy sonny! found your channel recently, i'm now addicted. have been binge watching your back catalogue. keep up the great work. cheers from australia!",2,youtube_scraped
this white boy butchered good food,0,youtube_scraped
"""#breaking #news Ohio Gov. John Kasich says of the 1st GOP presidential debate on Thursday: 'I'd like to be there, ...",1,tweet_eval
"watching this from my ""budget hotel"" in new zealand and getting very depressed.. why is new zealand soo ridiculously expensive!!?? and the quaitly is soo bad across the board.. every time i watch anything about value it just makes me laugh at the joke that nz prices and quality.. drives me crazy",0,youtube_scraped
you write it like sate not satay,0,youtube_scraped
"omg i never see that much of instant noodles put together at a time in my life, i wanna try it!",2,youtube_scraped
"""still heated over the fact that Frank Ocean didn't release his album in July. Frank Ocean, what's good?""",0,tweet_eval
"""Strip club owner \""""guessing we'll make 5 times as much a night\"""" .. \""""Republicans got plenty of money. They take it all from poor people\""""  #DUH""",0,tweet_eval
Only way you can legitimately put 'George Osborne' &amp; 'moral choice' in the same sentence is when he is one. A bad one,0,tweet_eval
"i've been to that restaurant before and was genuinely curious when i saw the world's spiciest pan mee in the menu. so glad i didn't order it. if mark struggled with it, it would have be straight up death for me. thanks for sharing this eating experience tho, it felt almost like i was experiencing that bowl of noodles myself!btw, i can't believe i'm discovering new (local, non-touristy) places to eat in malaysia from a foreign vlogger even though i've been living here my whole life. you're awesome man!",2,youtube_scraped
the one problem i have with your videos is that i just want to eat every minute i watch you😂😂,0,youtube_scraped
"you can see his hands shaking from the rush of adrenaline rushing through the body because it's thinking that it's in mortal danger. been there, it's quite addicting tbh. hotones should invite him to the show and see where dabomb and the gauntlet stakes up with everything he has tried",0,youtube_scraped
you forgot about the truffle burger 😥😥,0,youtube_scraped
come to sarawak borneo,1,youtube_scraped
"been visiting asia for 30 years and malaysia has hands down the best street food, although thailand and singapore come close.",2,youtube_scraped
"""Holliday just asked Pap if this was the most exciting game he's ever been in. Uh, he ended the Red Sox 1st WS win in 86 years, so prob not..""",1,tweet_eval
i'm a malaysian and i'm so glad you guys enjoyed this! i'm a little late but the only thing i really have to say is you have to visit the restaurants and the street stalls by yourself because the atmosphere eating there is just so different!,2,youtube_scraped
wow you are in malaysia 😊😊,2,youtube_scraped
wow the best malaysian food,2,youtube_scraped
my absolute favorite videos!! all the food looks so fun and delicious..❤️,2,youtube_scraped
mark..there is a actually 2 varieties of char kuey teow which is the chinese version that you just eat and then the malay version which has a gravy in it. there is one located right at the outskirt of mainland penang in jawi called char kuey teow wanis..definately the best malay style char kuey teow ive ever had.. you must try it,2,youtube_scraped
ho ho ho! welcome to penang! 💃💃,2,youtube_scraped
must try roti tissue and cu mart and family mart is the best in malaysia not in kl you must try and i hope i can meet you,2,youtube_scraped
"""Why these mfs jus blastin \""""""""Rella\"""""""" like itz the hood on Saturday N shit lolz smh""",0,tweet_eval
tak hairanlah malaysia adalah penduduk disahkan gemuk di negara - negara maju.,1,youtube_scraped
i need to try this! :d,2,youtube_scraped
*Starts watching Keeping up with the Kardashians* *2nd episode and Kris Jenner hires Bree Olson THE PORNSTAR as their nanny* *done*,1,tweet_eval
malaysia..food paradise 🇲🇾🥰😋😍,2,youtube_scraped
Mani Shankar Aiyar is a dolt. But this video about the hijaab is from January after the Charlie Hebdo attack. At least check and then tweet.,0,tweet_eval
why did you eat nasi lemak using fork??,0,youtube_scraped
hey mark! i suggest you try nasi beriani at dapur beriani cyberjaya! got a good comment from a repeat customer. the beriani is originally melayu recipes and tradition beriani.,2,youtube_scraped
isn‘t the fish with tumeric called ikan kunyit? or am i wrong?,1,youtube_scraped
i am the one who made stir fried fruit with sauce,1,youtube_scraped
food may cause daddy or mummy sos 😂😂,1,youtube_scraped
"mark, you are the man! much respect!",2,youtube_scraped
@user  CAN's Jerry may find a spot on Donald Trump's team in the US!  This guy is about at the same worse-than-awful level.Should fit.,0,tweet_eval
how was it determined that this is the spiciest in the world?,1,youtube_scraped
First we had the Charlie Hebdo thing back in January and now this?! WHEN IS THIS FUCKING ISLAMIST TERRORIST SHIT FINALLY GONNA BLOODY END!?!,0,tweet_eval
mark seems to always be so happy. it doesn’t feel fake either. he legit always has a smile on his face.,2,youtube_scraped
