video_id,user,comment,likes,published_at,reply_count,type,parent_id,comment_clean,polarity,sentiment
XR6OO2ScEXU,@kieranjohnston7550,"I came to Malaysia 40 years ago to marry a Malay woman I met while studying in the US. I worked for 35 years here, and am now helping to raise our Malaysian grandchildren. Looking back, I have to say I won the lottery. I would never live anywhere else but Malaysia. The only thing I miss is the crystal blue skies of spring and autumn.",1050,27/7/2025 8:53,82,top_level,,come malaysia year ago marry malay woman study we work year help raise malaysian grandchild look back say lottery would never live anywhere else malaysia thing miss crystal blue sky spring autumn,0.2732,Positive
DJJvt9_6dNE,@shakochon,"Going to KL really changed my perspective about Western cities being the best ones. 
What I loved about KL was people. Everyone's very nice.",601,9/7/2024 13:26,20,top_level,,go kl really change perspective western city well one love kl people everyone nice,0.8442,Positive
DJJvt9_6dNE,@drand9585,I am a single western woman.  I travelled to KL and Malaysia/ Indonesia independently. No issues at all.,505,9/7/2024 16:29,60,top_level,,single western woman travel kl malaysia indonesia independently issue,0,Neutral
XR6OO2ScEXU,@thecloudchaser1,"As a Malaysian living overseas .. it amuses me to see videos like yours . I think one thing you have to highlight Malaysia is not Kuala Lumpur or Penang ?? There are parts of Malaysia which is not as urbanised as KL, Penang or JB.. yes.  It takes awhile to “crack” into an inner circle  but if you stay authentic and get to know the locals’ way of thinking ..  before you know it, you got yourself a tribe 😊",444,30/7/2025 8:36,1,top_level,,malaysian live overseas amuse see video like think one thing highlight malaysia kuala lumpur penang part malaysia urbanised kl penang jb yes take awhile crack inner circle stay authentic get know local way think know tribe,0.8519,Positive
DJJvt9_6dNE,@AnonozChong,"I am a Malaysian, used to nomad throughout the Americas and Europe. Yeah KL is pretty fucking awesome.",441,9/7/2024 12:22,26,top_level,,malaysian use nomad throughout america europe yeah kl pretty fucking awesome,0.8687,Positive
DJJvt9_6dNE,@Darkmatter321,"I've done both Dubai and KL. KL is underrated, and Dubai way over rated",439,9/7/2024 18:28,19,top_level,,I do dubai kl kl underrated dubai way rat,0,Neutral
XR6OO2ScEXU,@insiderm37,"I grew up in Europe but never liked the harsh winters we used to have those days. In 1990 I sold my 50% of our business to my partner, sold everything else I had, and hopped onto my trusted (motor)bike with 10kg of stuff in a bag. 15 months later I crossed from Thailand into Malaysia and since that time I lived here. I married here, brought up 2 children and still love it here! Best.Decision.Ever.Period",394,28/7/2025 23:41,11,top_level,,grow europe never like harsh winter use day sell business partner sell everything else hop onto trust motorbike kg stuff bag month later cross thailand malaysia since time live marry bring child still love bestdecisioneverperiod,0.8315,Positive
DJJvt9_6dNE,@jero_me,"As a Canadian I consider Malaysia the best country to live in the world. Food, people, culture… all is perfect for me ❤🇲🇾",379,9/7/2024 19:20,14,top_level,,canadian consider malaysia well country live world food people culture perfect,0.7003,Positive
XR6OO2ScEXU,@donsland1610,"I have lived in Malaysia for the last 15 years and I love it still. All your pro's are correct but I would also emphasise the exceptional friendly, helpful people here. They respect each other, and even us expats. I will never go back to my original country.",306,27/7/2025 9:35,20,top_level,,live malaysia year love still pro correct would also emphasise exceptional friendly helpful people respect we expat never go back original country,0.9171,Positive
4RslhMzDmKs,@aalaal5364,Sepatutnya ujudkan semula Sekolah Vokasional Pertanian di  sekolah luar bandar utk   menggalakan pelajar kearah penternakan dan pertanian .,287,2/6/2022 10:34,45,top_level,,ujudkan sekolah vokasional pertanian sekolah bandar menggalakan pelajar kearah penternakan pertanian,0,Neutral
XR6OO2ScEXU,@kanogai7256,"As an introvert, even the cons are pros to me!",258,18/9/2025 17:40,11,top_level,,introvert con pro,0,Neutral
DJJvt9_6dNE,@TedPatrickBaird,"After spending two months in Kuala Lumpur, I can definitely say the pro's outweigh the negative. I'll be back again!",250,10/7/2024 0:45,1,top_level,,spend two month kuala lumpur definitely say pro outweigh negative ill back,-0.5859,Negative
DJJvt9_6dNE,@sidesofthenorth-jd,"Been in KL for 2 months now. I like that KL is essentially a modern city but still kinda has that old town southeast asian city feel. You´ll have big skyscrapers, 5 star hotels and supercars zooming around but at every corner is a cheap as peanuts foodstall or market where you don´t pay silly prices to get a full meal. Also there´s essentially 3 cultures in one city; Malay, Chinese and Indian, I have never seen diversity like this in a city before.",212,10/7/2024 6:01,9,top_level,,kl month like kl essentially modern city still kinda old town southeast asian city feel you big skyscraper star hotel supercar zoom around every corner cheap peanut foodstall market pay silly price get full meal also there essentially culture one city malay chinese indian never see diversity like city,0.0232,Neutral
4RslhMzDmKs,@tunberong114,Bagus langkah mcm ni..penternak Ayam asyik seronok lebih eksport Ayam ke luar negara sampai lupa dgn stok dlm negara...stok ke luar negara hantar kat gred baik punya..stok dalaman guna gred biasa2 ja...,189,2/6/2022 11:04,14,top_level,,bagus langkah nipenternak ayam asyik seronok eksport ayam negara lupa stok negarastok negara hantar gre punyastok dalaman gre ja,0,Neutral
XR6OO2ScEXU,@Hovite_Wanderer,I married a Sabah 46 years ago in UK where we lived and expected to retire. One day around 2003 my wife asked if we could retire to Malaysia so she could be near her brothers and sisters. I agreed. We sold up in UK in 2011 and moved to Sabah. It was the right decision. I could not be happier.,163,17/9/2025 12:01,5,top_level,,marry sabah year ago uk live expect retire one day around wife ask could retire malaysia could near brother sister agree sell uk move sabah right decision could happy,0.7351,Positive
XR6OO2ScEXU,@tiengwy,"Pro:  No worries about major earthquakes or volcanic eruptions, typhoons or hurricanes",162,8/8/2025 5:07,6,top_level,,pro worry major earthquake volcanic eruption typhoon hurricane,-0.4404,Negative
DJJvt9_6dNE,@RetireandGo,"KL is one of my favorite destinations.   Day and night its an exciting place.  low crime, fun, great food.",159,9/7/2024 13:25,15,top_level,,kl one favorite destination day night exciting place low crime fun great food,0.8402,Positive
DJJvt9_6dNE,@saigonexile531,"I like KL. I make the trip at least once a month from Saigon and  find it a nice place to visit and yearly med exam. Sorry, Bangkok, I go to KL now!",156,9/7/2024 12:24,2,top_level,,like kl make trip least month saigon find nice place visit yearly me exam sorry bangkok go kl,0.6124,Positive
XR6OO2ScEXU,@davidjames1007,"Moved to Malaysia 20 years ago. I agree with you, its a great place and I love it. Thank you Malaysia",152,5/8/2025 22:32,2,top_level,,move malaysia year ago agree great place love thank malaysia,0.9231,Positive
4RslhMzDmKs,@suhanaana4152,"xpe... singapore boleh ambik stok ayam dari negara lain... kan ada banyak pilihan...  Malaysia kena stabilkan dahulu stok ayam di negara sendiri.. tunggu sehingga keaadaan pulih, baru lah malaysia boleh mengeksport kembali...",143,2/6/2022 10:40,35,top_level,,xpe singapore ambik stok ayam negara pilihan malaysia kena stabilkan stok ayam negara tunggu keaadaan pulih malaysia mengeksport,0,Neutral
DJJvt9_6dNE,@eddieohearn17,It’s not just the Expats that praise Kuala Lumpur. There are other experts and other individuals that really love the city.  So thank you for going into depth about the city,142,9/7/2024 14:26,6,top_level,,expat praise kuala lumpur expert individual really love city thank go depth city,0.8969,Positive
4RslhMzDmKs,@mattjalinho1022,Yang kesiannya rakyat Malaysia sendiri 🤦,139,2/6/2022 10:37,13,top_level,,kesiannya rakyat malaysia,0,Neutral
4RslhMzDmKs,@DarkwarriorGamingandVideos,Kita kat malaysia pon kena jaga jaga jugak sebab kita import rm 50 billion makanan dari luar setiap bulan . Lebih baik kita buat sendiri dari import . Memang pembangunan bandar penting tapi pembangunan di setiap industry lagi penting,139,2/6/2022 10:18,30,top_level,,malaysia kena jaga jaga jugak import rm billion makanan import pembangunan bandar pembangunan industry,0,Neutral
XR6OO2ScEXU,@a4482921,"Malaysian here, speaking for the Malays we have a tradition of “adab” (loosely translated as etiquette or manners) which we hope newcomers take the time to learn. Despite the cosmopolitan nature of our cities, like any other people we expect a bit of respect and integration from newcomers. Even at the multicultural national level there are some topics which are avoided in discourse between communities. As long as newcomers observe these sensitivities, Malaysians are very welcoming.",137,20/8/2025 8:35,9,top_level,,malaysian speak malays tradition adab loosely translate etiquette manner hope newcomer take time learn despite cosmopolitan nature city like people expect bit respect integration newcomer multicultural national level topic avoid discourse community long newcomer observe sensitivity malaysians welcome,0.8519,Positive
4RslhMzDmKs,@shahtangent2198,"Kerajaan WAJIB MULA utk tumpukan setiap negeri mempunyai peranan tersendiri dalam sektor makanan. ""Raw Food"". Sebagai contoh Sabah ""negeri ternakan"" (Ayam/itik/lembu/Kambing). Sarawak "" negeri lapang padi"". Selangor ""negeri proses/perindustrian"". Jadi semua negeri mainkan peranan masing² utk atasi masalah kekurangan bekalan tempatan. Hasil lebihan barulah dieksport keluar. BANGKIT MALAYSIA! BANGKIT TANAH AIRKU! GEMBELING TENAGA! DEMI MALAYSIA! 🇲🇾❤️🇲🇾",127,3/6/2022 3:43,13,top_level,,kerajaan wajib tumpukan negeri peranan tersendiri sektor makanan raw food contoh sabah negeri ternakan ayamitiklembukambe sarawak negeri lapang padi selangor negeri prosesperindustrian negeri mainkan peranan masing² atasi kekurangan bekalan tempatan hasil lebihan barulah dieksport bangkit malaysia bangkit tanah airku gembele tenaga malaysia,0,Neutral
4RslhMzDmKs,@garrybong4081,"Inilah masa Pm kena fikirkan cara meninggikan hasil pertanian secara saintifik, automasi , menggalakan pengusaha berajin , tidak menyekat , menyusahkan pengusaha, ayam, sayur, tumbuhan, kambing ,rusa, arnab, kinzit,ikan bela,ikan tangkap,durian,sarang burung , apa yg boleh di  makan dan jual dan membawa pendapatan  , juga  menetapkan harga ceiling makanan ini saat ini supaya peniaga tidak mencari alasan menaik harga membeban rakya saje , tengoklah taiwan , vietnam , thailand, tidak kira bangsa, tak kira, kucing itam atau puteh, boleh tangkap tikus , itu kuching bangus (kata Presiden Deng China),Malaysia ada Tanah luas berlangit, Sungai banyak, laut cantik , tapi kena mengimport makanan, kan kita insan yang cerdik hasil tuhan, kita boleh ubah cara permainan, game changer, tapi bergatung banyak pada siapa yang berkerajaan, berkuasa, simple as that",114,2/6/2022 11:02,17,top_level,,pm kena fikirkan meninggikan hasil pertanian saintifik automasi menggalakan pengusaha berajin menyekat menyusahkan pengusaha ayam sayur tumbuhan kambe rusa arnab kinzitikan belaikan tangkapduriansarang burung makan jual membawa pendapatan menetapkan harga ceiling makanan peniaga mencari alasan menaik harga membeban rakya tengoklah taiwan vietnam thailand bangsa kuce itam puteh tangkap tikus kuche bangus presiden deng chinamalaysia tanah luas berlangit sungai laut cantik kena mengimport makanan insan cerdik hasil tuhan ubah permainan game changer bergatung berkerajaan berkuasa simple,0,Neutral
gxCfYO_3trk,@MYTHOMINHTRAN,"Malaysia is very clean, food is good and the price is right. Malaysian and more honest. Compare to Vietnam where trash can be found everywhere, sellers are dishonest, cheating and price are increased from month to month.",108,26/9/2023 19:39,20,top_level,,malaysia clean food good price right malaysian honest compare vietnam trash find everywhere seller dishonest cheat price increase month month,0.5423,Positive
XR6OO2ScEXU,@gingerteddy618,"Unlike in some countries where being foreign (especially Western) might make you seem more attractive or interesting, Malay women often don’t have that mindset. They tend to judge a person more on:
Character
Religious compatibility
Long-term potential
Family acceptance

So just being a foreigner doesn’t give you a special edge.",106,29/7/2025 0:31,9,top_level,,unlike country foreign especially western might make seem attractive interesting malay woman often mindset tend judge person character religious compatibility longterm potential family acceptance foreigner do give special edge,0.8834,Positive
DJJvt9_6dNE,@FunkyChild718,@ProudOrigins So same thing as London and NYC.  Gotcha. 🤣,105,9/7/2024 21:22,0,reply,UgwwERQxKRyLiJL8WY54AaABAg,thing london nyc gotcha,0,Neutral
XR6OO2ScEXU,@ConlearInt,"If anyone is interested in learning more about what it's like to live in Malaysia, the Move to Malaysia Starter Pack is available here. Thank you!
https://conlear.kit.com/products/move-to-malaysia-starter-pack",101,27/7/2025 1:47,15,top_level,,anyone interested learn like live malaysia move malaysia starter pack available thank,0.7717,Positive
DJJvt9_6dNE,@diannaboyd7876,"I was there last year and was delighted by how sweet the people are! And for anyone looking to retire on a fixed income, you can have all the amenities for 1950s prices.",96,9/7/2024 14:00,2,top_level,,year delight sweet people anyone look retire fix income amenity price,0.7845,Positive
XR6OO2ScEXU,@nomadjim,"New subscriber. Nice list of pros and cons. I agree with the pros and find some of the cons to be pros for me. Malaysia, and KL in particular, really fits my personality. I feel very comfortable there, always feel like I'm coming home as soon as I arrive. It's not for everyone (e.g., the party crowd), but that's what makes it special. It's criminally underrated despite all of our videos singing the praises of the place because some people will just never ""get it"". Hopefully, that keeps KL and Malaysia from suffering the over-tourism problems places like Thailand and Bali have had. And don't be ashamed of ordering food online from the restaurant at the bottom of your building...I've done it, too. 😄",94,27/7/2025 0:32,6,top_level,,new subscriber nice list pro con agree pro find con pro malaysia kl particular really fit personality feel comfortable always feel like I come home soon arrive everyone eg party crowd that make special criminally underrated despite video sing praise place people never get hopefully keep kl malaysia suffer overtourism problem place like thailand bali ashame order food online restaurant bottom buildingive do,0.8559,Positive
XR6OO2ScEXU,@vaughansey,You mentioned Starbucks a few times. There are stacks of decent coffee shops that are waaayyyy better.,94,30/7/2025 16:05,7,top_level,,mention starbuck time stack decent coffee shop waaayyyy well,0.2732,Positive
XR6OO2ScEXU,@tuhinkarim6593,"The best thing about Malaysia they don't talk too much about politics, Religion.. everyone is so much friendly.. I was student in Malaysia back in 2010.. I had so many Chinise, Indian, Malay friends.. still i regret why I left Malaysia, when I had chance to stay there.. now I am planning to move again..",94,30/7/2025 9:03,5,top_level,,well thing malaysia talk much politic religion everyone much friendly student malaysia back many chinise indian malay friend still regret leave malaysia chance stay plan move,0.7579,Positive
XR6OO2ScEXU,@saniman-fz2me,"​@ukbulldog2024where did you get that data? According to the Department of Statistics Malaysia (DOSM), the total number of Malaysians who migrated internationally in 2022 was around 11,700 or so, not hundreds of thousands. So please inform us from where you got the data. Interested to know.",91,27/7/2025 13:42,0,reply,Ugy8L_jpsYR6A8Up8QZ4AaABAg,get datum accord department statistic malaysia dosm total number malaysians migrate internationally around hundred thousand please inform we datum interested know,0.6801,Positive
XR6OO2ScEXU,@praise_lord_jesus_christ,Give this travel youtuber an award for being the funniest in this genre while giving unique quality information! He makes me laugh out loud. Often. Comedians don't even do that! :),90,27/7/2025 0:17,2,top_level,,give travel youtuber award funniest genre give unique quality information make laugh loud often comedian,0.9231,Positive
DJJvt9_6dNE,@nomadcapitalist,Watch the video where Mr.Henderson debunks common misconceptions about Muslim countries and shares the vibrant realities he's experienced there: https://youtu.be/FEmfUPJI2is,90,9/7/2024 13:04,17,top_level,,watch mrhenderson debunk common misconception muslim country share vibrant reality he experience,0.6808,Positive
XR6OO2ScEXU,@countzero74,"We've been to KL twice now, with an excursion into the Cameron Highlands as well, and we're absolutely in love. After some deliberation, we've decided that this will be the country we'd like to retire in (we're from Germany originally). Most of what you've said matches our experience....thanks for a great video! ""Fluency"" in English can sometimes be debatable, but everything else checks out. Malaysia is a hidden SE Asia gem. Everybody's always talking about Thailand etc, but as far as we're concerned, that's absolutely fine. Less competition for the MM2H visa come the day. ;)",87,28/7/2025 9:49,7,top_level,,we kl twice excursion cameron highland well absolutely love deliberation we decide country we like retire germany originally you say match experiencethank great fluency english sometimes debatable everything else check malaysia hide asia gem everybodys always talk thailand etc far concern that absolutely fine less competition mmh visa come day,0.9272,Positive
XR6OO2ScEXU,@markmorfesse8080,"Yes amazing place Malaysia I have many memories of working as an Australian surveyor's assistant in the construction of the Kajang airport in 1997, it took 20,000 people and 2 years  to complete, opened by PM Mahatir and also working at a gold mine at Kuala Lipis in the Cameron highlands, where I had an encounter with a tiger. Breakfast was kopi and roti canai.lunch nasi goreng.It's a working multicultural country.",85,27/7/2025 2:50,8,top_level,,yes amazing place malaysia many memory work australian surveyor assistant construction kajang airport take people year complete open pm mahatir also work gold mine kuala lipis cameron highland encounter tiger breakfast kopi roti canailunch nasi gorengit work multicultural country,0.7579,Positive
