author,comment,likes,published_at,reply_count
@3siblings526,"Who did it better?
Isa Isaarb:”Yow wazza wazzap is your boy Isa Isaarb.”
Caprice:”Whatsup gang, its Caprice.What is on the news today.”
Like-Isa Isaarb
Comment- Caprice",2693,2020-05-25 10:08,85
@muhdazri4240,"💚USTAZ EBIT LEW💚
❤USTAZ TIDO❤
💛AZFAR BADRUL💛
💙ISA ISARB💙

SUBSCRIBE 4 NI. .DERMAWAN",1032,2020-05-25 15:44,39
@joannesdunstan1093,Rakan dari Sarawak like sikit :-) Terbaik Semua👍🏻,799,2020-05-25 10:12,25
@HugoQadri,"yg first shah bg duit tu paling sedih. sbb dia ckp dia pernah rasa susah.

selalunya org yg susah lebih mudah membantu dn bersedeqah dr org² yg ada duit.",613,2020-05-31 17:19,13
@johnsonperivasamy3793,"Isa isarb skuad 🏳️

Siapa nak masuk isa isarb skuad
Like 👇 

Isa isarb ❤️❤️❤️",559,2020-05-28 06:21,26
@svgar_fox8179,Bayangkan kalau apa yang Allah janji atas satu kebaikan dibalas dengan 10 kali ganda pahala dapat dilihat secara fizikal. Maka tentulah manusia akan berlumba-lumba untuk membuat kebaikan. Tahniah Isa Isarb atas simulasi atas janji Allah yang benar!! Keep up the good work mate. May Allah bless us all!,550,2020-05-25 23:45,8
@Nurultehah02,"Isaa ni banyak tolong orang , sbb tu rezeki dia melimpah² .. ❤ doakan sayaa dpt rezeki mcm awakkk isaa ❤",404,2020-07-01 17:29,28
@mohdshahir1800,one of the Mr Beast malaysia... solute bro isa🇲🇾,396,2020-05-25 21:22,4
@znmotorsports6437,*14:10** brader yg Naviend minta tolong ni paling baik hati..dah la tolong bgi duit siap nk tolong hantar Naviend balik rumah lagi..susah nk jumpa org mcm ni zaman skang kt bandar besar ni*,363,2020-05-26 04:19,8
@piratesowsome7821,"8:26  Mantap la, org Sarawak mmg hati mulia🌹
like org Sarawak👍",362,2020-05-27 00:15,26
@fatinfilzah7037,"Betullah ustaz kata 
"" Memberi waktu senang tu biasa, tapi memberi waktu susah itu luar biasa .."" respect pada orang yang sanggup menolong walaupun dia tak senang mana. ♥️",346,2020-06-19 00:37,3
@muhammadamatoo1310,Tq isa memang lepasni ramai nak menderma . Walaupun x dpt cash from u back . InsyaAllah setiap kali derma . Allah bagi balik 10x ganda kat kita .,337,2020-06-08 02:38,9
@watiefmy,"Korang buat akak mengalirkan air mata laaaa..... Reapect budak sarawak tu.... Bersungguh² lagi nak gi tukar duit sdg sndiripun x kerja 😭
Bro grab tu pun sama.... Terharu laa..

Bkn senang nak tebalkan muka minta pinjam ni....",317,2020-06-07 01:29,11
@lanz2191,"Ya allah.
Kau berikan semangat dkt isa isarb dngn kawan2nye ya allah.
Kau murahkan rezekinye dan permudahkan segala urusannye ya allah🤲
Aku minat betul dngn dia nie.
Blh dijadikan idola dkt anak2 muda.
Sedih aku tngok video nie.
Mengalir air mata aku.
Aku pon org susah.
Pernah cuba mintak tolong isa.
Tpi ntah la.
Bkn no dia agaknye.
Pape pon.
Aku respect dkt di nie.
Untung yg melahirkan dia.",249,2020-05-25 16:19,6
@hamrinurmaizansyahida4082,Bangga tengok org Sarawak sikap prihatin dan belas yang tinggi. Yang lain pun sama. Walaupun susah tetap ingin membantu. Semoga Allah bagi rezeki yang bermanfaat buat kita semua aaamiiinnn.....,234,2020-07-13 14:24,3
@alexsonbuel,8:25 sarawakian people semua nice. Proud:),215,2020-05-31 12:19,14
@musicbox9973,"I'm hoping, one day I can be like you isa. Aku pn bukan org ada² and aku pun jenis suka bagi sbb bila kita bagi org akan ckp thanks atau senyum atau gembira something like that la. Tu blh buat aku happy srs. Mcm haritu sblm pkp aku balik dri tmpt study, dkt larkin sentral, aku beli mcd biasa. And balance dlm wallet rm10,  sbb nak balik pun. Bila nk gerak, Ada nenek tua tahan mntk duit lama xmkn, so aku bgi mcd and rm10. So aku tahan la perut smpai rumah makan mcm org xmkn seminggu 🤣 yela dalam bas 4 jam, mesti akan lapar. Next aku dpt like ganjaran la. Pointer tinggi utk sem tu and lect nak belanja la. So this word need to set in our mind ""what u give, u will get back"" 🙊",215,2020-06-30 13:58,7
@rxfiq2653,"aku dh tunggu dari semalam
like banyak aku nak suruh isarb bce..",207,2020-05-25 09:58,3
@hanbillion1097,ISA ISARB bakal youtube No1 🇲🇾 Bismillah Ya Rahman ❤️ Goodluck bro ! Salam aidilfitri semua !,192,2020-05-25 21:06,4
@nasrunarshad9370,Hanya org yang pernah hadapi kesusahan hidup akan tersentuh hati tgk video ni..aku pernah 3 bulan kerja tanpa gaji..bulan ke-4 dpt RM350..sewa bilik dh RM250..tp brsyukur selalu..ada hikmahnya...doakan aku berjaya..,189,2020-06-20 15:20,6
@Makhise,"Penderma pertama ""saya asal sarawak"" 👍🏻",170,2020-05-25 18:21,5
