url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wfh-shah-alam
N/A,N/A,CSR Senior Lead Auditor,TÜV SÜD,Undisclosed,"Sepenuh Masa,",Shah Alam,Undisclosed,18 hours ago,N/A,wfh-shah-alam
N/A,N/A,CSR Senior Lead Auditor,Tüv Süd,Undisclosed,"Sepenuh Masa,",Shah Alam,Undisclosed,18 hours ago,N/A,wfh-shah-alam
N/A,N/A,3D Designer (Freelance - Project-Based),Maxcis Niaga Sdn Bhd,"MYR2,500 - MYR3,000 Sebulan","Separuh Masa,",Shah Alam,"MYR2,500 - MYR3,000 Sebulan",9 days ago,N/A,wfh-shah-alam
N/A,N/A,Technical Assistant Site Supervisor,DAMAI SEPADU SDN BHD,"MYR2,500 - MYR2,500 Sebulan","Sepenuh Masa,",Shah Alam,"MYR2,500 - MYR2,500 Sebulan",21 days ago,N/A,wfh-shah-alam
https://www.maukerja.my/job/24354182-penasihat-perancang-takaful,24354182,Penasihat Perancang Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR5,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR5,500 Sebulan",20 hours ago,"Sales experience, Insurance",wfh-shah-alam
https://www.maukerja.my/job/24354184-perunding-takaful,24354184,Perunding Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR6,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR6,500 Sebulan",20 hours ago,"Sales and Marketing, Customer Relationship Management",wfh-shah-alam
https://www.maukerja.my/job/24354186-perunding-takaful,24354186,Perunding Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR5,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR5,500 Sebulan",20 hours ago,Sales,wfh-shah-alam
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wfh-shah-alam
N/A,N/A,CSR Senior Lead Auditor,TÜV SÜD,Undisclosed,"Sepenuh Masa,",Shah Alam,Undisclosed,18 hours ago,N/A,wfh-shah-alam
N/A,N/A,CSR Senior Lead Auditor,Tüv Süd,Undisclosed,"Sepenuh Masa,",Shah Alam,Undisclosed,18 hours ago,N/A,wfh-shah-alam
N/A,N/A,3D Designer (Freelance - Project-Based),Maxcis Niaga Sdn Bhd,"MYR2,500 - MYR3,000 Sebulan","Separuh Masa,",Shah Alam,"MYR2,500 - MYR3,000 Sebulan",9 days ago,N/A,wfh-shah-alam
N/A,N/A,Technical Assistant Site Supervisor,DAMAI SEPADU SDN BHD,"MYR2,500 - MYR2,500 Sebulan","Sepenuh Masa,",Shah Alam,"MYR2,500 - MYR2,500 Sebulan",21 days ago,N/A,wfh-shah-alam
https://www.maukerja.my/job/24354182-penasihat-perancang-takaful,24354182,Penasihat Perancang Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR5,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR5,500 Sebulan",20 hours ago,"Sales experience, Insurance",wfh-shah-alam
https://www.maukerja.my/job/24354184-perunding-takaful,24354184,Perunding Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR6,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR6,500 Sebulan",20 hours ago,"Sales and Marketing, Customer Relationship Management",wfh-shah-alam
https://www.maukerja.my/job/24354186-perunding-takaful,24354186,Perunding Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR5,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR5,500 Sebulan",20 hours ago,Sales,wfh-shah-alam
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wfh-shah-alam
N/A,N/A,CSR Senior Lead Auditor,TÜV SÜD,Undisclosed,"Sepenuh Masa,",Shah Alam,Undisclosed,18 hours ago,N/A,wfh-shah-alam
N/A,N/A,CSR Senior Lead Auditor,Tüv Süd,Undisclosed,"Sepenuh Masa,",Shah Alam,Undisclosed,18 hours ago,N/A,wfh-shah-alam
N/A,N/A,3D Designer (Freelance - Project-Based),Maxcis Niaga Sdn Bhd,"MYR2,500 - MYR3,000 Sebulan","Separuh Masa,",Shah Alam,"MYR2,500 - MYR3,000 Sebulan",9 days ago,N/A,wfh-shah-alam
N/A,N/A,Technical Assistant Site Supervisor,DAMAI SEPADU SDN BHD,"MYR2,500 - MYR2,500 Sebulan","Sepenuh Masa,",Shah Alam,"MYR2,500 - MYR2,500 Sebulan",21 days ago,N/A,wfh-shah-alam
https://www.maukerja.my/job/24354182-penasihat-perancang-takaful,24354182,Penasihat Perancang Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR5,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR5,500 Sebulan",20 hours ago,"Sales experience, Insurance",wfh-shah-alam
https://www.maukerja.my/job/24354184-perunding-takaful,24354184,Perunding Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR6,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR6,500 Sebulan",20 hours ago,"Sales and Marketing, Customer Relationship Management",wfh-shah-alam
https://www.maukerja.my/job/24354186-perunding-takaful,24354186,Perunding Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR5,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR5,500 Sebulan",20 hours ago,Sales,wfh-shah-alam
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wfh-shah-alam
N/A,N/A,CSR Senior Lead Auditor,TÜV SÜD,Undisclosed,"Sepenuh Masa,",Shah Alam,Undisclosed,18 hours ago,N/A,wfh-shah-alam
N/A,N/A,CSR Senior Lead Auditor,Tüv Süd,Undisclosed,"Sepenuh Masa,",Shah Alam,Undisclosed,18 hours ago,N/A,wfh-shah-alam
N/A,N/A,3D Designer (Freelance - Project-Based),Maxcis Niaga Sdn Bhd,"MYR2,500 - MYR3,000 Sebulan","Separuh Masa,",Shah Alam,"MYR2,500 - MYR3,000 Sebulan",9 days ago,N/A,wfh-shah-alam
N/A,N/A,Technical Assistant Site Supervisor,DAMAI SEPADU SDN BHD,"MYR2,500 - MYR2,500 Sebulan","Sepenuh Masa,",Shah Alam,"MYR2,500 - MYR2,500 Sebulan",21 days ago,N/A,wfh-shah-alam
https://www.maukerja.my/job/24354182-penasihat-perancang-takaful,24354182,Penasihat Perancang Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR5,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR5,500 Sebulan",20 hours ago,"Sales experience, Insurance",wfh-shah-alam
https://www.maukerja.my/job/24354184-perunding-takaful,24354184,Perunding Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR6,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR6,500 Sebulan",20 hours ago,"Sales and Marketing, Customer Relationship Management",wfh-shah-alam
https://www.maukerja.my/job/24354186-perunding-takaful,24354186,Perunding Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR5,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR5,500 Sebulan",20 hours ago,Sales,wfh-shah-alam
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,wfh-shah-alam
N/A,N/A,CSR Senior Lead Auditor,TÜV SÜD,Undisclosed,"Sepenuh Masa,",Shah Alam,Undisclosed,18 hours ago,N/A,wfh-shah-alam
N/A,N/A,CSR Senior Lead Auditor,Tüv Süd,Undisclosed,"Sepenuh Masa,",Shah Alam,Undisclosed,18 hours ago,N/A,wfh-shah-alam
N/A,N/A,3D Designer (Freelance - Project-Based),Maxcis Niaga Sdn Bhd,"MYR2,500 - MYR3,000 Sebulan","Separuh Masa,",Shah Alam,"MYR2,500 - MYR3,000 Sebulan",9 days ago,N/A,wfh-shah-alam
N/A,N/A,Technical Assistant Site Supervisor,DAMAI SEPADU SDN BHD,"MYR2,500 - MYR2,500 Sebulan","Sepenuh Masa,",Shah Alam,"MYR2,500 - MYR2,500 Sebulan",21 days ago,N/A,wfh-shah-alam
https://www.maukerja.my/job/24354182-penasihat-perancang-takaful,24354182,Penasihat Perancang Takaful,Muqmeen Group Radia Agency,"MYR3,500 - MYR5,500 Sebulan","Sepenuh Masa,","Shah Alam, Selangor","MYR3,500 - MYR5,500 Sebulan",20 hours ago,"Sales experience, Insurance",wfh-shah-alam
